cell_marker,a1,a2,a3,a4,a1a2,a1a3,a1a4,a2a3,a2a4,a3a4
B;CD63,-0.2672074787793619,0.09566536123985246,0.3073294226219097,0.19553246491075912,0.013934989279833438,0.26451559613243497,0.06993238702548288,0.27076621097102777,0.17983788206161083,0.293895651389896
B;HLA-DR,0.5383304074022932,-0.040000232749152646,-0.37441685676557396,-0.5867811519617906,0.17768116981894688,-0.26866132109460417,-0.2929002168820186,-0.250176262188812,-0.42869649692741263,-0.4138394872464151
B;HLA_Class_1,0.01659507655384544,0.33248287635536516,-0.0913932439102254,-0.16883398113215797,0.30040875804227096,-0.09424844770605038,-0.13841362134181542,0.10180673922259728,0.09950675603734532,-0.1288757060373012
B;Keratin6,-0.30698355609541633,0.057519850389904446,0.44565977518549205,0.1701579836903448,-0.044948350098918094,0.3772399334310015,0.0032127618480496277,0.3544497652282892,0.13501762028276917,0.3899400896544384
NK;Beta catenin,-0.02729485752841118,-0.2399395468505356,0.2960423791638084,0.12826674823652856,-0.09505008517292854,0.10115397892910552,0.11711823784797687,0.21140114823317135,0.043690878543263076,0.3062449925283923
NK;CD138,-0.23916642636041235,-0.402388128123019,0.1649098965375915,0.3789543673184339,-0.3151883738291591,-0.05419980156572028,-0.0535069582916123,-0.05895973164634475,-0.06458728595464235,0.2953296065101135
Keratin-positive tumor;H3K9ac,-0.17700650202022655,0.1796363789409962,0.3243092579098034,-0.3862153219348334,0.011792552560955955,-0.07742697683854763,-0.24877887593999928,0.2524773004563661,0.06867463877507794,-0.2466269579971611
Keratin-positive tumor;HLA-DR,-0.08267269873967378,0.47889536049112047,-0.1668195892138647,0.026793452154336546,0.18112386720550203,-0.10347986478276981,-0.0962752858945046,0.4448644648304304,0.47013860350454356,-0.19167325000716876
Keratin-positive tumor;HLA_Class_1,-0.3137894305351797,0.5660574924031844,0.09566905159499292,-0.22600814412637046,0.16883916525494888,-0.26126333182263994,-0.3451666858304298,0.5846323444793592,0.4958167443451066,-0.315230933053169
Keratin-positive tumor;IDO,-0.1137706679775955,0.2903910819838876,-0.16265127432622567,0.05851254199595944,0.030527713300258726,-0.1358297815271285,-0.10443063882029421,0.2632157116642154,0.3006544665475176,-0.11182049065265945
Tumor;H3K9ac,-0.16731962178705462,0.3018755443490367,0.301780862842048,-0.3517675608604358,0.2536123005287759,0.09851125347971487,-0.24992909314847217,0.3221807561344796,0.2873360727672119,0.125265977999712
Tumor;HLA-DR,0.011120901090401272,0.4270890950027001,0.07765539367118418,-0.1609085995284758,0.3773656353719678,0.08987144369458279,-0.06288071619682693,0.41958386443032053,0.4260140895783944,-0.024439855989244138
Tumor;HLA_Class_1,-0.31950375589568347,0.6067904986145202,0.21150460956718214,-0.3136108712148891,0.454682205143654,-0.09622986218497494,-0.363970932249046,0.6052848935629462,0.5998467383088067,0.055784650132341115
Tumor;phospho-S6,-0.21655021719374476,0.3046272120176011,0.16689647042417077,-0.22276564422124015,0.2115024122720489,-0.06881303232589976,-0.2543312743817019,0.31259216085340014,0.2936935918346419,0.07979441816578388
