x,y,label,cell_type,cell_size_pixel
132.99,17.16,2,Keratin-positive tumor,913
144.3,12.675,3,Neutrophils,112
153.07500000000002,13.844999999999999,4,Keratin-positive tumor,317
210.015,13.65,5,Keratin-positive tumor,476
239.265,15.21,6,Keratin-positive tumor,508
253.89,12.48,7,Keratin-positive tumor,76
280.21500000000003,13.844999999999999,8,Keratin-positive tumor,412
439.53000000000003,13.065000000000001,11,Keratin-positive tumor,133
603.525,12.675,13,Keratin-positive tumor,155
638.04,12.285,15,Other immune,68
646.425,13.65,16,Other immune,239
659.88,16.185000000000002,17,Keratin-positive tumor,528
684.2550000000001,13.455000000000002,18,Keratin-positive tumor,279
702.585,14.82,19,Macrophages,396
631.215,15.015,20,Keratin-positive tumor,242
228.93,16.965,21,Keratin-positive tumor,501
367.57500000000005,17.16,22,Keratin-positive tumor,751
655.395,13.065000000000001,23,Keratin-positive tumor,135
249.01500000000001,14.82,24,Keratin-positive tumor,221
260.71500000000003,15.600000000000001,25,Keratin-positive tumor,466
713.31,16.965,26,Mesenchymal-like,520
117.58500000000001,14.82,27,Neutrophils,388
693.615,16.575,29,Other immune,470
561.6,18.134999999999998,31,DC / Mono,520
625.7550000000001,17.745,32,Keratin-positive tumor,679
637.845,16.965,33,Keratin-positive tumor,359
674.31,17.94,34,Keratin-positive tumor,556
734.1750000000001,18.33,35,Endothelial,542
648.1800000000001,17.16,36,Keratin-positive tumor,321
472.68,19.305,37,Keratin-positive tumor,510
163.60500000000002,17.16,38,Keratin-positive tumor,193
321.945,19.11,39,Keratin-positive tumor,1185
769.47,17.355,40,Mesenchymal-like,462
339.69,16.77,41,Keratin-positive tumor,213
353.73,18.915,42,Keratin-positive tumor,532
569.01,18.330000000000002,43,Neutrophils,336
684.45,18.33,44,Keratin-positive tumor,310
585.78,15.795000000000002,45,Unidentified,271
241.41000000000003,19.695,48,Keratin-positive tumor,172
252.91500000000002,19.305,49,Keratin-positive tumor,272
404.82000000000005,21.255000000000003,50,Keratin-positive tumor,1034
171.60000000000002,19.695,52,Other immune,331
376.35,19.11,53,Neutrophils,529
706.875,22.425,54,Mesenchymal-like,734
145.86,22.23,55,Keratin-positive tumor,698
130.065,20.28,57,Unidentified,243
156.39,22.815,58,Keratin-positive tumor,675
781.365,21.255000000000003,59,Mesenchymal-like,520
554.5799999999999,20.475,60,Other immune,357
247.065,20.865000000000002,61,Other immune,264
256.425,21.060000000000002,62,Keratin-positive tumor,108
692.25,25.740000000000002,64,Neutrophils,354
718.3800000000001,23.595,65,Mesenchymal-like,485
264.42,22.035000000000004,66,Keratin-positive tumor,402
339.3,24.765,67,Keratin-positive tumor,997
579.9300000000001,20.865000000000002,68,Neutrophils,939
641.745,24.765,69,Keratin-positive tumor,959
166.92000000000002,23.4,70,Other immune,349
293.08500000000004,25.740000000000002,71,Keratin-positive tumor,820
661.635,22.035000000000004,72,Keratin-positive tumor,220
395.07000000000005,26.52,73,Keratin-positive tumor,909
670.4100000000001,23.009999999999998,74,Keratin-positive tumor,717
367.185,23.595,75,Neutrophils,285
357.24,26.130000000000003,77,Keratin-positive tumor,474
375.18,27.299999999999997,78,Neutrophils,768
685.23,27.884999999999998,80,Neutrophils,744
110.955,27.105000000000004,82,Other immune,452
239.655,26.130000000000003,83,Neutrophils,439
522.405,26.715000000000003,85,Keratin-positive tumor,204
627.315,26.520000000000003,86,Keratin-positive tumor,414
41.145,26.325000000000003,87,Mesenchymal-like,337
278.265,27.300000000000004,88,Keratin-positive tumor,359
473.07000000000005,30.615000000000002,89,Keratin-positive tumor,925
513.24,29.055,91,Keratin-positive tumor,605
37.245000000000005,30.42,92,Mesenchymal-like,518
320.97,31.005000000000003,93,Keratin-positive tumor,795
286.455,29.055,94,Keratin-positive tumor,263
309.46500000000003,29.25,95,Keratin-positive tumor,282
412.03499999999997,29.835,97,Neutrophils,797
362.31,31.395000000000003,98,Keratin-positive tumor,281
568.815,32.37,99,Keratin-positive tumor,600
275.34000000000003,33.345,100,Keratin-positive tumor,432
387.27,30.810000000000002,101,Keratin-positive tumor,203
418.275,32.175000000000004,102,Unidentified,248
191.685,32.175000000000004,103,Other immune,249
54.21000000000001,32.955,105,Neutrophils,255
578.565,33.54,106,Keratin-positive tumor,453
46.02,32.955,107,Mesenchymal-like,357
607.23,34.32,108,Keratin-positive tumor,513
341.05500000000006,36.27,109,Keratin-positive tumor,913
356.65500000000003,37.83,110,Keratin-positive tumor,1010
468.78000000000003,36.27,111,Keratin-positive tumor,451
186.81,35.1,112,Neutrophils,421
781.56,35.1,113,Mesenchymal-like,399
453.57000000000005,37.635,116,Keratin-positive tumor,761
587.34,35.295,117,Keratin-positive tumor,598
323.505,37.44,118,Keratin-positive tumor,585
13.065000000000001,36.465,119,Mesenchymal-like,134
650.52,36.075,120,Neutrophils,293
375.765,39.195,121,Keratin-positive tumor,735
550.875,36.66,122,Keratin-positive tumor,320
561.405,39.39,123,Keratin-positive tumor,665
265.395,39.195,124,Neutrophils,1015
64.155,41.535,127,Neutrophils,1026
282.555,39.0,128,Keratin-positive tumor,1090
616.395,39.585,129,Keratin-positive tumor,457
623.61,37.635000000000005,130,Keratin-positive tumor,120
391.755,39.195,131,Neutrophils,505
646.0350000000001,38.415000000000006,132,Neutrophils,371
45.045,40.365,133,Endothelial,449
103.935,39.0,134,Keratin-positive tumor,200
124.8,43.095,135,Keratin-positive tumor,1366
28.665000000000003,42.705,136,Mesenchymal-like,864
305.76,42.120000000000005,137,Keratin-positive tumor,852
543.6600000000001,39.585,138,Mono / Neu,373
571.35,44.46000000000001,139,Keratin-positive tumor,971
611.325,39.78,140,Keratin-positive tumor,150
624.0,41.144999999999996,141,Keratin-positive tumor,126
210.79500000000002,40.95,143,Neutrophils,312
348.855,42.315,144,Keratin-positive tumor,295
593.385,40.56,145,Keratin-positive tumor,260
152.29500000000002,39.975,146,Keratin-positive tumor,292
95.16,44.655,147,Keratin-positive tumor,1100
383.37,40.755,148,Neutrophils,377
585.78,43.095,149,Keratin-positive tumor,248
233.025,47.58,150,Keratin-positive tumor,1737
330.72,44.265,151,Keratin-positive tumor,430
14.625,45.825,153,Neutrophils,462
