x,y,label,cell_type,cell_size_pixel
72.345,13.844999999999999,2,Mesenchymal-like,367
83.655,13.65,3,Macrophages,252
106.47,12.285,4,Tumor,99
128.505,12.870000000000001,5,Unidentified,94
141.765,12.870000000000001,6,Unidentified,126
153.075,13.260000000000002,7,Tumor,234
185.25,14.43,8,Keratin-positive tumor,293
193.44,12.48,9,Keratin-positive tumor,71
212.16000000000003,13.455000000000002,10,Tumor,162
218.59500000000003,12.285,11,Keratin-positive tumor,54
276.51,14.82,12,Tumor,240
355.485,14.235,13,Keratin-positive tumor,271
361.92,12.675,14,Keratin-positive tumor,102
403.06500000000005,16.77,15,Keratin-positive tumor,951
423.735,14.235,16,Mesenchymal-like,291
453.375,12.675,17,Tumor,129
484.185,12.870000000000001,18,Tumor,177
523.575,14.625,19,Keratin-positive tumor,432
234.78000000000003,14.43,20,Keratin-positive tumor,244
465.46500000000003,15.990000000000002,22,Tumor,695
114.465,16.965,23,Tumor,635
318.63,15.21,24,Macrophages,334
348.46500000000003,15.015,25,Tumor,233
445.18500000000006,15.405000000000001,26,Mesenchymal-like,404
510.70500000000004,16.965,27,Keratin-positive tumor,660
147.81,15.405000000000001,28,Unidentified,226
307.71000000000004,16.185000000000002,29,Keratin-positive tumor,411
226.78500000000003,15.015,31,Mesenchymal-like,297
269.685,16.575,32,Tumor,559
388.635,18.915,33,Keratin-positive tumor,1080
494.32500000000005,15.795000000000002,34,Tumor,560
192.27,18.72,35,Keratin-positive tumor,515
64.35,17.745,36,Mesenchymal-like,380
247.065,15.990000000000002,37,Tumor,366
206.505,15.990000000000002,38,Mesenchymal-like,276
210.60000000000002,17.94,39,Tumor,105
420.615,17.745,40,Mesenchymal-like,217
454.35,17.94,41,Mesenchymal-like,379
485.355,19.5,43,Tumor,488
93.405,19.305,44,Mesenchymal-like,296
293.865,16.38,45,Mesenchymal-like,407
327.6,18.915,46,Endothelial,527
200.65500000000003,19.11,47,Keratin-positive tumor,737
230.49,19.5,48,Mesenchymal-like,280
355.875,19.89,49,Keratin-positive tumor,294
362.31,18.525000000000002,50,Keratin-positive tumor,157
461.56500000000005,19.305,51,Mesenchymal-like,230
300.69000000000005,20.085,52,Keratin-positive tumor,160
368.15999999999997,18.915,53,Keratin-positive tumor,401
413.20500000000004,18.72,54,Keratin-positive tumor,174
142.35000000000002,19.89,57,Tumor,287
241.60500000000002,18.915000000000003,58,Tumor,395
57.33,22.23,59,Unidentified,463
117.19500000000001,21.645000000000003,60,Mesenchymal-like,259
414.57000000000005,22.425,61,Keratin-positive tumor,194
493.155,22.425,62,Tumor,176
149.76,22.814999999999998,63,Tumor,319
235.755,22.425,64,Tumor,307
260.325,21.645000000000003,65,Macrophages,139
247.26,22.425,66,Tumor,176
407.745,23.595,67,Keratin-positive tumor,121
99.84,23.595,68,DC / Mono,228
207.675,22.62,69,Mesenchymal-like,112
66.105,26.52,70,Keratin-positive tumor,532
467.025,25.935000000000002,72,Mesenchymal-like,512
353.34000000000003,24.765,73,Keratin-positive tumor,306
121.29,25.545,74,Tumor,133
212.16,25.35,75,Keratin-positive tumor,137
106.275,26.325000000000003,76,Mesenchymal-like,280
145.665,27.495,77,Mesenchymal-like,338
392.925,26.715000000000003,78,Tumor,390
51.09,26.325000000000003,79,Macrophages,265
206.895,26.91,80,Mesenchymal-like,107
297.765,25.935000000000002,81,Mesenchymal-like,169
262.08000000000004,29.445,82,Macrophages,542
328.38,29.835,83,Mesenchymal-like,574
407.94,29.055000000000003,84,Keratin-positive tumor,222
486.72,27.3,85,Tumor,182
111.73500000000001,28.47,86,Tumor,258
154.44,27.885,87,Mesenchymal-like,259
269.1,28.275,88,Tumor,195
179.01,29.835,89,Mesenchymal-like,351
220.54500000000002,31.590000000000003,90,Keratin-positive tumor,511
362.70000000000005,30.810000000000002,91,Keratin-positive tumor,292
117.58500000000001,30.42,92,Tumor,365
416.13,30.03,93,Keratin-positive tumor,380
533.52,29.835,94,Mesenchymal-like,300
57.72,30.615000000000002,95,Keratin-positive tumor,214
488.28000000000003,31.59,96,Tumor,176
164.58,29.835,97,Mesenchymal-like,282
314.925,31.785000000000004,99,Mesenchymal-like,441
452.595,32.175000000000004,100,Mesenchymal-like,320
213.33,32.565,101,Keratin-positive tumor,466
244.72500000000002,32.565,102,Tumor,921
227.95499999999998,29.055,103,Tumor,287
299.91,33.93,104,Mesenchymal-like,422
349.44,31.785000000000004,105,Tumor,313
387.65999999999997,34.32,106,Keratin-positive tumor,492
188.175,33.345,107,Mesenchymal-like,423
233.41500000000002,33.345,108,Tumor,181
542.8800000000001,33.15,109,Mesenchymal-like,489
54.405,33.735,110,Keratin-positive tumor,352
145.275,33.540000000000006,111,Mesenchymal-like,181
403.65,33.15,112,Keratin-positive tumor,612
621.465,34.125,113,Tumor,301
161.07,35.1,114,Mesenchymal-like,385
236.53500000000003,36.269999999999996,115,Keratin-positive tumor,636
123.63,33.735,116,Unidentified,271
306.93,34.515,117,Tumor,567
492.18,36.075,118,Tumor,569
465.46500000000003,37.05,119,Mesenchymal-like,621
330.915,37.44,120,Mesenchymal-like,417
342.42,38.22,121,Mesenchymal-like,557
154.82999999999998,35.88,122,Mesenchymal-like,270
167.505,36.269999999999996,123,Mesenchymal-like,182
271.83000000000004,35.879999999999995,124,Keratin-positive tumor,138
395.85,39.78,125,Keratin-positive tumor,825
519.48,36.465,126,Mesenchymal-like,522
228.93,36.465,128,Tumor,171
264.81,37.245000000000005,129,Other immune,274
151.125,38.025000000000006,130,Mesenchymal-like,801
179.79000000000002,39.0,131,Keratin-positive tumor,477
358.995,35.295,132,Keratin-positive tumor,367
135.32999999999998,41.730000000000004,133,Mesenchymal-like,1165
171.015,39.0,134,Mesenchymal-like,352
278.85,37.44,135,Macrophages,252
362.115,38.61,136,Keratin-positive tumor,191
202.995,38.61,137,Keratin-positive tumor,301
287.625,40.755,138,Mesenchymal-like,579
457.47,40.755,139,Mesenchymal-like,453
33.540000000000006,39.585,140,Mesenchymal-like,295
211.575,43.68000000000001,141,Keratin-positive tumor,861
350.415,40.56,143,Keratin-positive tumor,445
481.06500000000005,40.95,144,Mesenchymal-like,560
124.02000000000001,40.364999999999995,145,Tumor,240
75.66,43.095,146,Endothelial,927
510.12,42.510000000000005,147,Other immune,530
59.085,40.56,148,Mesenchymal-like,218
189.735,40.95,150,Keratin-positive tumor,539
490.62,43.68,151,Keratin-positive tumor,364
274.17,41.144999999999996,153,Keratin-positive tumor,233
296.595,40.755,154,Other immune,258
50.894999999999996,42.900000000000006,157,Keratin-positive tumor,884
65.91,41.144999999999996,158,Mesenchymal-like,217
360.555,42.900000000000006,159,Keratin-positive tumor,269
439.92,41.730000000000004,160,Mesenchymal-like,92
383.56500000000005,44.265,161,Keratin-positive tumor,543
197.53500000000003,42.315,162,Mesenchymal-like,109
218.4,42.900000000000006,163,Keratin-positive tumor,188
247.065,44.85,165,Keratin-positive tumor,532
31.590000000000003,45.825,167,Mesenchymal-like,401
277.875,47.385000000000005,168,Keratin-positive tumor,646
471.70500000000004,45.045,169,Mesenchymal-like,419
41.535000000000004,42.705,170,Mesenchymal-like,786
319.605,45.63,171,Keratin-positive tumor,517
541.3199999999999,45.435,172,Tumor,484
532.5450000000001,46.410000000000004,173,Tumor,385
89.31,45.825,174,Mesenchymal-like,350
306.345,48.36,175,Keratin-positive tumor,717
401.70000000000005,46.995000000000005,176,Keratin-positive tumor,912
26.130000000000003,46.410000000000004,177,Macrophages,366
197.145,46.605000000000004,179,Mesenchymal-like,74
235.95,45.825,180,Keratin-positive tumor,314
98.28,46.605000000000004,181,Tumor,451
503.49,46.800000000000004,183,Macrophages,354
66.105,47.97,184,Mesenchymal-like,462
202.215,46.605000000000004,185,Keratin-positive tumor,312
464.685,47.775000000000006,187,Tumor,368
349.245,47.19,188,Tumor,97
495.495,47.97,189,Keratin-positive tumor,437
358.8,47.19,190,Keratin-positive tumor,235
150.93,48.945,191,Keratin-positive tumor,713
167.115,50.505,193,Mesenchymal-like,674
190.515,50.31,194,Keratin-positive tumor,480
294.255,51.870000000000005,195,Macrophages,909
180.76500000000001,50.505,196,Keratin-positive tumor,473
375.57,49.92,197,Keratin-positive tumor,746
234.39000000000001,49.53,200,Keratin-positive tumor,175
537.81,50.115,201,Tumor,95
270.46500000000003,48.94500000000001,202,Keratin-positive tumor,283
334.62,52.650000000000006,203,Mesenchymal-like,573
25.35,52.065,204,Macrophages,243
91.65,51.285,205,Tumor,161
174.135,51.870000000000005,206,Mesenchymal-like,358
302.445,53.625,207,Unidentified,378
355.68,53.625,208,Keratin-positive tumor,461
261.3,50.895,210,Tumor,384
368.355,52.650000000000006,211,Keratin-positive tumor,310
216.06,51.09,213,Keratin-positive tumor,497
246.285,53.040000000000006,214,Keratin-positive tumor,414
273.0,53.43000000000001,215,Tumor,112
362.505,53.235,216,Keratin-positive tumor,308
471.9,53.235,217,Tumor,207
140.4,57.72,218,Keratin-positive tumor,930
196.95,57.135000000000005,219,Keratin-positive tumor,1194
228.735,55.965,220,Keratin-positive tumor,803
235.17000000000002,53.82000000000001,221,Keratin-positive tumor,257
435.63,56.16,223,Mesenchymal-like,592
462.53999999999996,53.82000000000001,224,Mesenchymal-like,920
349.245,55.575,227,Mesenchymal-like,382
549.315,56.94,228,Tumor,535
43.095,55.77,229,Keratin-positive tumor,384
98.08500000000001,53.43000000000001,230,Tumor,251
534.105,58.11000000000001,231,Keratin-positive tumor,912
541.5150000000001,55.965,232,Tumor,347
89.70000000000002,57.135000000000005,233,Tumor,508
267.345,54.99,234,Tumor,162
408.135,57.525000000000006,235,Keratin-positive tumor,538
449.865,55.77,236,Mesenchymal-like,417
490.23,56.550000000000004,237,Keratin-positive tumor,481
240.24,57.72,239,Keratin-positive tumor,351
399.165,60.644999999999996,240,Keratin-positive tumor,580
625.365,56.745000000000005,241,Mesenchymal-like,323
152.685,57.525000000000006,242,Keratin-positive tumor,436
456.69000000000005,57.33,243,Mesenchymal-like,167
54.21,55.965,244,Mesenchymal-like,294
214.305,59.67,246,Keratin-positive tumor,575
30.42,58.5,248,Endothelial,403
39.0,59.864999999999995,249,Endothelial,383
263.445,57.915000000000006,250,Tumor,175
344.56500000000005,58.5,251,Mesenchymal-like,169
374.78999999999996,58.69500000000001,252,Keratin-positive tumor,259
520.845,59.28,253,Mesenchymal-like,319
249.015,59.865,254,Keratin-positive tumor,445
514.41,58.5,255,Mesenchymal-like,167
97.305,60.644999999999996,256,Tumor,147
269.49,58.89,257,Tumor,193
481.065,60.06,258,Keratin-positive tumor,687
565.5,60.45,259,Keratin-positive tumor,349
200.46,62.985,262,Keratin-positive tumor,431
281.775,62.4,263,Tumor,699
14.82,63.18000000000001,264,Keratin-positive tumor,468
137.475,63.765,265,Keratin-positive tumor,509
359.97,64.155,266,Keratin-positive tumor,623
57.33,62.4,267,Mesenchymal-like,247
177.06,65.13000000000001,268,Keratin-positive tumor,1107
368.745,62.205,270,Keratin-positive tumor,246
393.90000000000003,61.620000000000005,271,Keratin-positive tumor,349
556.9200000000001,61.815000000000005,272,Tumor,294
153.85500000000002,63.18,273,Keratin-positive tumor,146
450.255,63.18,274,Mesenchymal-like,179
21.840000000000003,62.985,275,Keratin-positive tumor,366
52.065,61.620000000000005,276,Tumor,104
604.8900000000001,62.205,278,Mesenchymal-like,292
270.66,65.13,280,Tumor,194
46.41,62.595,281,Mono / Neu,216
350.61,63.57,282,Keratin-positive tumor,264
493.155,64.545,283,Keratin-positive tumor,121
240.82500000000002,63.96,285,Keratin-positive tumor,151
374.595,66.69,286,Keratin-positive tumor,432
410.08500000000004,65.13,287,Keratin-positive tumor,506
517.9200000000001,67.86000000000001,288,Keratin-positive tumor,832
344.95500000000004,65.715,289,Tumor,275
546.585,68.445,290,Keratin-positive tumor,603
30.03,68.835,291,Keratin-positive tumor,599
86.58000000000001,67.86000000000001,292,Tumor,578
158.925,65.91,294,Keratin-positive tumor,350
221.91000000000003,67.86000000000001,295,Keratin-positive tumor,1031
529.035,65.91,296,Keratin-positive tumor,305
52.845,66.495,297,Mesenchymal-like,128
94.575,66.495,298,Tumor,391
388.635,66.69,299,Keratin-positive tumor,269
61.230000000000004,68.83500000000001,303,Keratin-positive tumor,973
70.39500000000001,64.545,304,Tumor,551
150.54000000000002,67.86000000000001,305,Keratin-positive tumor,594
434.07,69.42,306,Macrophages,602
607.0350000000001,67.47,308,Mesenchymal-like,147
203.385,72.15,309,Keratin-positive tumor,870
458.83500000000004,67.86,310,Keratin-positive tumor,250
485.16,66.3,311,Keratin-positive tumor,51
508.755,67.86,312,Tumor,271
366.99,67.47,314,Keratin-positive tumor,213
490.23,66.3,315,Tumor,207
47.775000000000006,68.055,316,Unidentified,147
187.98000000000002,71.565,317,Keratin-positive tumor,1135
119.92500000000001,71.955,318,Tumor,902
466.44,68.055,320,Tumor,456
477.94500000000005,69.03,321,Keratin-positive tumor,563
532.74,70.395,322,Keratin-positive tumor,486
593.58,68.25,323,Macrophages,280
452.01,69.03,325,Keratin-positive tumor,393
138.255,73.32,326,Keratin-positive tumor,620
485.94000000000005,69.42,327,Keratin-positive tumor,73
598.845,69.03,328,Macrophages,210
294.06,69.225,330,Keratin-positive tumor,208
260.52000000000004,74.10000000000001,331,Keratin-positive tumor,1445
302.25,72.345,332,Keratin-positive tumor,695
52.260000000000005,72.93,333,Tumor,245
353.73,70.59,334,Keratin-positive tumor,323
163.8,70.785,335,Keratin-positive tumor,225
540.1500000000001,69.03,336,Keratin-positive tumor,338
396.43500000000006,73.905,338,Keratin-positive tumor,1008
412.62,74.1,339,Keratin-positive tumor,922
680.7450000000001,73.515,340,Tumor,338
15.990000000000002,73.32,341,Keratin-positive tumor,505
250.38,71.75999999999999,342,Mesenchymal-like,280
34.32,72.15,343,Unidentified,232
493.74,70.785,344,Tumor,101
43.290000000000006,70.59,345,Mesenchymal-like,613
687.7650000000001,73.125,346,Mesenchymal-like,245
109.98,76.245,347,Tumor,453
209.43,74.49000000000001,348,Mesenchymal-like,336
237.51,72.15,349,Tumor,200
314.73,74.685,350,Keratin-positive tumor,276
342.225,76.83000000000001,351,Keratin-positive tumor,576
352.17,73.515,352,Keratin-positive tumor,214
457.08000000000004,75.075,353,Tumor,280
366.015,72.93,355,Keratin-positive tumor,382
463.90500000000003,75.855,356,Tumor,291
472.485,76.245,357,Keratin-positive tumor,513
488.865,74.49000000000001,359,Keratin-positive tumor,263
95.355,74.88,360,Tumor,250
243.36,75.27000000000001,362,Tumor,269
156.585,80.14500000000001,365,Keratin-positive tumor,1599
23.400000000000002,74.49000000000001,366,Keratin-positive tumor,250
564.915,76.635,367,Keratin-positive tumor,451
347.1,76.44,368,Keratin-positive tumor,109
403.06500000000005,76.83000000000001,369,Keratin-positive tumor,243
69.42,77.61,370,Macrophages,147
174.72,76.44,371,Tumor,269
292.305,74.295,372,Keratin-positive tumor,399
12.675,78.0,374,Tumor,68
36.66,79.36500000000001,375,Keratin-positive tumor,672
222.10500000000002,76.245,376,Keratin-positive tumor,202
86.775,78.58500000000001,377,Tumor,491
104.325,77.22,378,Keratin-positive tumor,193
482.235,77.415,380,Keratin-positive tumor,368
535.86,77.025,381,Keratin-positive tumor,113
602.94,77.61000000000001,382,Mesenchymal-like,331
230.88,78.78,383,Tumor,675
690.3000000000001,79.17,384,Tumor,255
215.28,78.0,385,Keratin-positive tumor,332
249.21,79.755,386,Tumor,439
557.895,79.36500000000001,389,Tumor,321
612.885,79.56,390,Mesenchymal-like,308
95.55000000000001,79.95,391,Tumor,263
198.315,80.535,392,Keratin-positive tumor,272
222.495,82.095,393,Keratin-positive tumor,348
352.755,80.34,394,Keratin-positive tumor,247
188.565,81.315,396,Keratin-positive tumor,514
359.775,79.95,397,Keratin-positive tumor,454
435.82500000000005,81.315,398,Mesenchymal-like,382
541.32,81.315,399,Keratin-positive tumor,829
274.95000000000005,82.68,400,Mesenchymal-like,758
290.745,83.07,401,Mesenchymal-like,515
476.97,82.68,402,Keratin-positive tumor,129
493.15500000000003,80.73,403,Keratin-positive tumor,287
410.28,80.92500000000001,404,Keratin-positive tumor,216
426.855,82.28999999999999,405,Keratin-positive tumor,152
481.845,83.655,406,Keratin-positive tumor,187
511.68,82.68,407,Keratin-positive tumor,367
100.23,84.045,408,Keratin-positive tumor,356
111.15,83.46000000000001,409,Keratin-positive tumor,342
347.88,82.875,410,Keratin-positive tumor,222
551.2650000000001,83.85,411,Keratin-positive tumor,439
671.7750000000001,87.16499999999999,412,Mesenchymal-like,962
472.485,83.655,413,Keratin-positive tumor,199
657.1500000000001,84.63,414,Tumor,470
283.33500000000004,82.68,415,Mesenchymal-like,407
400.53,83.07,416,Keratin-positive tumor,244
443.82000000000005,82.485,417,Mesenchymal-like,484
687.5699999999999,83.85,418,Tumor,106
215.47500000000002,85.80000000000001,420,Tumor,276
380.83500000000004,84.435,421,Keratin-positive tumor,231
388.245,83.46000000000001,422,Tumor,272
488.08500000000004,85.02000000000001,423,Keratin-positive tumor,434
568.23,85.02000000000001,424,Tumor,292
606.0600000000001,87.555,425,Mesenchymal-like,707
171.40500000000003,86.385,426,Keratin-positive tumor,576
366.21000000000004,85.215,427,Keratin-positive tumor,452
28.86,83.26500000000001,428,Keratin-positive tumor,56
35.49,91.65,431,Keratin-positive tumor,952
193.245,83.85,432,Tumor,99
406.77,85.02000000000001,433,Keratin-positive tumor,271
556.53,87.75,434,Keratin-positive tumor,396
562.575,85.41,435,Keratin-positive tumor,203
681.72,85.02000000000001,436,Mesenchymal-like,442
25.35,84.825,437,Keratin-positive tumor,80
309.66,86.385,438,Tumor,251
694.395,85.995,439,Tumor,290
28.665,87.555,440,Keratin-positive tumor,80
415.74,85.605,441,Keratin-positive tumor,437
186.81,88.33500000000001,442,Keratin-positive tumor,153
397.02,87.94500000000001,443,Keratin-positive tumor,508
495.495,87.165,444,Keratin-positive tumor,158
108.22500000000001,87.75,445,Keratin-positive tumor,194
90.87,89.7,447,Keratin-positive tumor,956
469.17,90.285,448,Keratin-positive tumor,1040
192.85500000000002,88.53,449,Keratin-positive tumor,155
202.02,87.165,450,Keratin-positive tumor,493
337.74,87.94500000000001,451,Keratin-positive tumor,536
351.39,86.97,452,Keratin-positive tumor,243
501.735,88.14000000000001,453,Keratin-positive tumor,394
47.775000000000006,91.26,454,Keratin-positive tumor,886
101.205,90.09,455,Keratin-positive tumor,274
244.14000000000001,88.53,456,Unidentified,202
455.13,89.70000000000002,457,Mesenchymal-like,539
518.3100000000001,86.97,458,Keratin-positive tumor,137
23.595,89.11500000000001,460,Keratin-positive tumor,231
234.97500000000002,89.505,461,Mesenchymal-like,206
376.15500000000003,87.75,462,Keratin-positive tumor,601
14.82,89.89500000000001,463,Tumor,293
208.65,92.235,464,Keratin-positive tumor,892
388.245,91.845,465,Keratin-positive tumor,645
359.385,91.25999999999999,466,Keratin-positive tumor,399
687.96,91.845,467,Mesenchymal-like,243
81.51,90.09,468,Tumor,111
150.735,90.87,469,Keratin-positive tumor,309
428.80500000000006,90.87,470,Mesenchymal-like,295
514.605,89.505,471,Keratin-positive tumor,200
541.905,94.38,472,Keratin-positive tumor,1114
367.38,93.99000000000001,473,Keratin-positive tumor,335
482.43000000000006,92.82,474,Keratin-positive tumor,600
678.405,93.405,477,Mesenchymal-like,455
567.45,95.355,480,Keratin-positive tumor,1017
123.045,94.185,481,Keratin-positive tumor,689
157.95,92.82,482,Keratin-positive tumor,308
351.975,95.94,483,Keratin-positive tumor,639
410.08500000000004,92.82,484,Keratin-positive tumor,415
175.305,93.405,485,Keratin-positive tumor,382
105.69,93.21000000000001,486,Keratin-positive tumor,108
195.195,93.015,487,Keratin-positive tumor,252
342.42,93.21000000000001,488,Keratin-positive tumor,289
498.03000000000003,94.575,489,Keratin-positive tumor,378
491.40000000000003,93.99000000000001,491,Keratin-positive tumor,261
146.64,95.55000000000001,492,Keratin-positive tumor,304
186.81,95.355,493,Tumor,463
306.93,94.38,494,Macrophages,207
628.485,93.795,495,Mesenchymal-like,195
268.32000000000005,94.965,497,Unidentified,146
17.94,97.11000000000001,498,Keratin-positive tumor,442
72.735,97.69500000000001,499,Mesenchymal-like,195
459.42,96.135,500,Mesenchymal-like,475
400.92,98.67,501,Keratin-positive tumor,979
521.4300000000001,94.185,502,Tumor,362
556.725,97.89000000000001,503,Keratin-positive tumor,557
54.6,100.23,504,Keratin-positive tumor,723
177.84,98.86500000000001,505,Keratin-positive tumor,267
151.515,99.25500000000001,506,Keratin-positive tumor,301
362.31000000000006,99.06,507,Keratin-positive tumor,317
132.99,99.25500000000001,509,Keratin-positive tumor,578
158.535,99.84,510,Keratin-positive tumor,392
236.925,97.695,511,Mesenchymal-like,181
414.96000000000004,99.255,512,Keratin-positive tumor,465
