x,y,label,cell_type,cell_size_pixel
240.24,35.88,140,CD3-T,257
322.91999999999996,39.975,141,Keratin-positive tumor,1607
576.4200000000001,36.27,143,Keratin-positive tumor,497
413.4,36.660000000000004,144,Keratin-positive tumor,524
658.905,37.050000000000004,145,Keratin-positive tumor,391
666.12,35.88,146,Keratin-positive tumor,284
168.09,38.61,148,Keratin-positive tumor,494
618.54,38.415000000000006,149,Keratin-positive tumor,218
677.625,37.635000000000005,150,Keratin-positive tumor,767
31.98,37.635000000000005,153,Keratin-positive tumor,75
496.86,37.245000000000005,154,CD4-T,258
604.3050000000001,39.975,155,Macrophages,603
146.64,38.22,157,Keratin-positive tumor,219
434.655,39.585,158,Keratin-positive tumor,422
187.785,39.39,159,Mono / Neu,96
246.87,40.755,160,Keratin-positive tumor,691
502.32000000000005,39.78,162,CD4-T,369
139.035,42.900000000000006,163,Keratin-positive tumor,439
523.77,40.95,165,Macrophages,462
118.95,42.900000000000006,166,Keratin-positive tumor,1062
485.55,42.51,167,Keratin-positive tumor,544
710.7750000000001,40.17,168,Keratin-positive tumor,286
256.23,40.365,169,Keratin-positive tumor,232
511.485,40.365,170,Keratin-positive tumor,288
624.585,43.290000000000006,171,CD8-T,539
40.56,40.365,172,Keratin-positive tumor,193
160.875,39.975,173,Keratin-positive tumor,587
207.28500000000003,45.629999999999995,174,Keratin-positive tumor,1461
335.985,40.755,175,Keratin-positive tumor,432
343.78499999999997,40.95,176,Keratin-positive tumor,431
517.725,40.56,177,Keratin-positive tumor,273
585.975,40.56,178,Keratin-positive tumor,173
495.105,42.315,180,CD4-T,150
717.6,41.145,181,Keratin-positive tumor,317
729.3000000000001,42.900000000000006,182,Keratin-positive tumor,825
220.935,40.95,183,Macrophages,358
669.6300000000001,43.485,184,Keratin-positive tumor,424
706.29,44.655,185,Keratin-positive tumor,702
744.9000000000001,44.265,186,Keratin-positive tumor,949
351.58500000000004,42.705,187,Keratin-positive tumor,450
463.515,45.629999999999995,188,Keratin-positive tumor,1035
690.105,42.120000000000005,189,Keratin-positive tumor,376
89.505,44.46,190,Keratin-positive tumor,784
400.92,45.045,191,Keratin-positive tumor,913
471.12,41.535000000000004,192,CD4-T,231
30.225,43.290000000000006,194,Keratin-positive tumor,342
411.645,46.410000000000004,195,Macrophages,502
451.23,45.825,196,Keratin-positive tumor,367
476.97,45.045,197,CD3-T,406
177.255,47.385000000000005,198,Keratin-positive tumor,1144
551.0699999999999,48.36,199,Keratin-positive tumor,1446
583.44,44.46,200,Keratin-positive tumor,205
755.235,42.315,203,Keratin-positive tumor,349
145.275,47.385000000000005,204,Keratin-positive tumor,642
264.03000000000003,47.385000000000005,206,Keratin-positive tumor,638
306.54,44.85,208,CD8-T,262
376.35,47.19,209,Keratin-positive tumor,1001
419.44500000000005,47.775000000000006,210,Keratin-positive tumor,557
594.75,47.775000000000006,211,Keratin-positive tumor,744
335.985,47.385000000000005,212,Keratin-positive tumor,658
588.9000000000001,45.63,213,Keratin-positive tumor,250
186.42000000000002,46.215,214,Macrophages,291
223.66500000000002,47.97,215,Macrophages,700
132.405,47.19,216,Macrophages,567
158.34,51.09,217,Keratin-positive tumor,1287
511.68,50.31,218,Keratin-positive tumor,1143
521.2350000000001,47.19,219,Macrophages,140
531.1800000000001,44.85,220,Macrophages,231
664.365,46.41,221,Keratin-positive tumor,613
685.815,49.335,222,Keratin-positive tumor,741
61.230000000000004,50.31,223,Keratin-positive tumor,1296
194.22000000000003,47.58,224,Keratin-positive tumor,578
274.17,47.19,225,DC / Mono,685
312.975,45.435,226,Keratin-positive tumor,502
486.91499999999996,51.09,227,Keratin-positive tumor,1080
616.395,48.555,228,Macrophages,765
676.065,48.36,229,Keratin-positive tumor,482
715.065,46.605000000000004,230,CD8-T,237
290.16,48.555,231,Keratin-positive tumor,709
631.02,46.019999999999996,232,Other immune,253
168.87,49.335,234,Keratin-positive tumor,248
24.96,48.75,236,Keratin-positive tumor,309
386.88,47.97,237,Other immune,255
427.83000000000004,50.505,239,Keratin-positive tumor,677
245.7,53.82000000000001,240,Keratin-positive tumor,1339
457.665,51.675,241,Keratin-positive tumor,436
629.85,51.675,242,Macrophages,380
353.925,54.015,245,Keratin-positive tumor,657
36.465,54.60000000000001,247,Macrophages,1010
696.7350000000001,52.065000000000005,248,CD8-T,385
74.49000000000001,50.7,249,Keratin-positive tumor,359
563.1600000000001,53.82,251,Macrophages,652
598.455,54.795,252,Keratin-positive tumor,816
298.15500000000003,52.065,253,Keratin-positive tumor,273
474.63,53.235,254,Macrophages,452
118.17,56.355000000000004,255,Keratin-positive tumor,1138
94.38,55.38,257,Keratin-positive tumor,881
711.36,52.455,258,Macrophages,210
445.96500000000003,56.16,259,CD8-T,800
258.765,54.795,260,Keratin-positive tumor,504
104.91,55.77,262,Keratin-positive tumor,523
188.565,54.015,263,Macrophages,157
200.265,55.77,264,Keratin-positive tumor,454
342.225,56.94,265,Macrophages,873
644.28,59.085,266,Keratin-positive tumor,943
717.7950000000001,54.795,267,Macrophages,256
208.26,55.965,269,Keratin-positive tumor,282
503.88,57.915,270,Keratin-positive tumor,912
609.5699999999999,56.745000000000005,271,Macrophages,664
748.2149999999999,55.185,272,Macrophages,244
21.84,59.67,274,Keratin-positive tumor,1185
70.98,57.915,275,Keratin-positive tumor,630
171.79500000000002,57.915,276,Keratin-positive tumor,769
314.14500000000004,57.525000000000006,277,Mono / Neu,572
572.325,52.65,279,Macrophages,378
727.5450000000001,56.160000000000004,280,Other immune,398
304.395,56.745000000000005,281,Macrophages,524
436.02,56.355000000000004,282,Macrophages,301
635.7,55.575,283,Keratin-positive tumor,180
653.25,56.550000000000004,284,Keratin-positive tumor,388
670.8000000000001,55.77,285,Keratin-positive tumor,484
733.59,55.77,286,Keratin-positive tumor,296
764.985,53.82,287,Keratin-positive tumor,438
423.53999999999996,55.965,288,Macrophages,193
689.9100000000001,55.77,289,CD8-T,410
376.545,58.89,290,Other immune,663
391.365,57.33,291,Keratin-positive tumor,102
743.145,57.525000000000006,292,Keratin-positive tumor,631
755.04,56.94,293,Macrophages,372
363.675,58.11,294,Keratin-positive tumor,404
275.535,62.010000000000005,295,Keratin-positive tumor,1316
430.755,58.89,296,DC / Mono,252
459.225,58.89,297,CD4-T,399
587.73,59.085,298,Other immune,519
658.71,61.620000000000005,299,Keratin-positive tumor,765
713.895,60.06,300,Macrophages,376
125.97,63.96000000000001,301,Keratin-positive tumor,868
190.70999999999998,62.010000000000005,302,Macrophages,1099
352.365,60.06,303,DC / Mono,307
441.87,60.06,304,Macrophages,170
535.8600000000001,62.400000000000006,306,Macrophages,1004
78.78,61.425,307,Keratin-positive tumor,393
255.645,62.595,313,Keratin-positive tumor,307
425.1,63.18,314,Other immune,459
514.02,63.96,315,Keratin-positive tumor,803
635.7,62.79,316,Keratin-positive tumor,427
676.065,62.400000000000006,317,Macrophages,676
265.395,63.765,318,Keratin-positive tumor,679
210.015,60.84,320,CD8-T,218
507.39000000000004,62.595000000000006,321,Keratin-positive tumor,75
770.6400000000001,65.13,322,Keratin-positive tumor,1539
98.08500000000001,66.105,323,Keratin-positive tumor,1060
145.47,63.96,324,Macrophages,584
416.13,62.595,325,Mono / Neu,427
650.715,63.765,326,Keratin-positive tumor,202
738.6600000000001,63.57,327,Keratin-positive tumor,161
238.875,66.885,328,Keratin-positive tumor,1144
389.025,63.57,329,Keratin-positive tumor,506
488.865,65.91,330,Mono / Neu,718
218.20499999999998,65.715,331,Keratin-positive tumor,667
785.0699999999999,62.4,332,Keratin-positive tumor,160
456.3,63.57,333,Macrophages,365
705.9,64.155,334,Keratin-positive tumor,263
341.055,63.96,335,Mesenchymal-like,415
604.8900000000001,64.155,336,Mono / Neu,118
163.995,64.74000000000001,337,Macrophages,432
180.765,69.42,338,Keratin-positive tumor,1544
308.88,65.715,340,DC / Mono,456
623.61,65.715,341,Mono / Neu,172
700.44,70.785,342,Macrophages,864
734.3700000000001,69.61500000000001,343,Keratin-positive tumor,1134
693.225,65.52000000000001,344,Macrophages,235
368.745,65.52000000000001,345,Macrophages,228
556.53,66.885,346,Keratin-positive tumor,460
712.725,66.885,347,Keratin-positive tumor,400
63.57,66.495,348,Keratin-positive tumor,402
13.455000000000002,65.715,349,Keratin-positive tumor,149
72.93,67.86000000000001,350,Keratin-positive tumor,542
82.485,69.225,351,Keratin-positive tumor,628
155.025,65.52000000000001,352,Macrophages,812
567.645,68.64,353,Keratin-positive tumor,526
593.385,67.47,354,Keratin-positive tumor,569
745.6800000000001,68.64,355,Keratin-positive tumor,538
611.715,67.86,356,Keratin-positive tumor,604
112.515,70.395,357,Keratin-positive tumor,917
395.46000000000004,71.37,358,Keratin-positive tumor,1107
438.75,67.47,359,DC / Mono,310
549.315,67.275,360,Keratin-positive tumor,129
120.12,69.22500000000001,361,Keratin-positive tumor,352
212.16,68.445,362,Keratin-positive tumor,164
295.23,72.15,363,Keratin-positive tumor,1075
431.73,68.25,364,DC / Mono,341
206.31,69.03,366,Keratin-positive tumor,384
255.64499999999998,70.2,367,Keratin-positive tumor,656
543.075,70.97999999999999,368,DC / Mono,650
578.175,68.055,369,Mono / Neu,425
668.2650000000001,69.42,370,Macrophages,673
131.235,69.61500000000001,371,Macrophages,140
677.4300000000001,71.565,375,Keratin-positive tumor,382
499.98,68.25,377,Macrophages,693
169.845,72.345,378,Keratin-positive tumor,621
230.49,72.93,379,Macrophages,659
527.28,70.395,380,Keratin-positive tumor,464
15.600000000000001,72.93,381,Macrophages,433
518.31,72.735,382,Keratin-positive tumor,423
425.68500000000006,72.53999999999999,383,Mesenchymal-like,400
783.9,71.75999999999999,384,Macrophages,326
281.97,71.75999999999999,385,Keratin-positive tumor,520
509.34000000000003,75.855,386,Keratin-positive tumor,1072
650.715,71.76,387,CD4-T,124
198.315,72.345,388,Macrophages,327
225.22500000000002,71.37,389,Mono / Neu,127
563.745,76.44,390,Keratin-positive tumor,1226
588.12,76.63499999999999,391,Keratin-positive tumor,1108
417.885,73.905,392,Macrophages,504
621.465,74.88,393,Macrophages,723
705.7049999999999,73.515,394,Keratin-positive tumor,289
216.45,72.53999999999999,395,Keratin-positive tumor,155
598.845,71.95500000000001,396,Macrophages,139
54.015,75.27000000000001,397,Macrophages,637
596.115,75.27000000000001,398,Keratin-positive tumor,249
685.0350000000001,73.71000000000001,399,Keratin-positive tumor,647
244.92000000000002,73.71000000000001,400,Keratin-positive tumor,662
355.875,74.685,401,Keratin-positive tumor,358
272.805,75.66,402,Keratin-positive tumor,652
347.685,77.61000000000001,404,Keratin-positive tumor,564
193.635,74.685,405,Macrophages,288
363.09000000000003,74.49000000000001,406,Keratin-positive tumor,261
577.59,76.245,407,Keratin-positive tumor,373
532.35,78.0,408,Keratin-positive tumor,460
710.7750000000001,80.14500000000001,409,Keratin-positive tumor,1207
331.89,79.755,410,Keratin-positive tumor,1197
540.54,77.22,411,Keratin-positive tumor,310
522.21,76.44,412,Keratin-positive tumor,70
