x,y,label,cell_type,cell_size_pixel
122.265,14.235,2,Keratin-positive tumor,283
208.845,13.455000000000002,3,Macrophages,242
261.3,14.43,5,Keratin-positive tumor,488
289.96500000000003,13.260000000000002,6,Keratin-positive tumor,135
321.75,13.455000000000002,7,Macrophages,217
334.23,14.235,8,Keratin-positive tumor,185
370.69500000000005,13.455000000000002,9,Keratin-positive tumor,168
391.17,13.065000000000001,10,Keratin-positive tumor,184
421.2,16.38,11,Keratin-positive tumor,777
459.81000000000006,13.844999999999999,12,Keratin-positive tumor,224
477.94500000000005,14.235,13,Keratin-positive tumor,224
546.3900000000001,15.015,14,Macrophages,425
559.845,13.65,15,Keratin-positive tumor,193
329.745,14.82,16,Keratin-positive tumor,195
553.4100000000001,13.455000000000002,17,Keratin-positive tumor,108
229.71,16.77,18,Keratin-positive tumor,527
508.95000000000005,15.405000000000001,19,Macrophages,506
630.435,13.844999999999999,20,Keratin-positive tumor,233
218.01,16.38,21,Keratin-positive tumor,540
135.135,15.990000000000002,22,Keratin-positive tumor,496
195.195,15.21,23,Macrophages,301
202.60500000000002,15.795000000000002,24,Macrophages,332
316.68,16.185000000000002,25,Macrophages,393
472.29,18.915000000000003,26,Keratin-positive tumor,1062
536.445,15.795000000000002,27,Keratin-positive tumor,409
151.125,15.6,28,Keratin-positive tumor,249
308.1,17.16,29,Keratin-positive tumor,470
566.475,17.745,30,Keratin-positive tumor,553
636.09,16.575,31,Keratin-positive tumor,126
281.58000000000004,16.575,32,Keratin-positive tumor,173
396.43500000000006,18.72,33,Keratin-positive tumor,583
158.535,19.89,34,Keratin-positive tumor,516
340.66499999999996,16.38,35,Tumor,341
452.985,18.135,36,Keratin-positive tumor,219
631.4100000000001,17.94,38,Keratin-positive tumor,142
172.77,19.695,39,Keratin-positive tumor,521
552.63,19.89,40,Keratin-positive tumor,285
295.42499999999995,19.305,41,Keratin-positive tumor,352
129.87,21.84,42,Keratin-positive tumor,552
270.855,23.595,43,Keratin-positive tumor,871
379.275,21.84,44,Keratin-positive tumor,628
405.405,20.28,45,Keratin-positive tumor,140
280.21500000000003,21.645,46,Keratin-positive tumor,378
88.72500000000001,23.985,47,Keratin-positive tumor,951
141.76500000000001,22.815,48,Keratin-positive tumor,653
499.59000000000003,20.28,49,Unidentified,706
180.375,22.035,50,Keratin-positive tumor,485
319.8,23.400000000000002,51,Keratin-positive tumor,635
560.82,21.645,52,Keratin-positive tumor,146
582.27,20.67,53,Keratin-positive tumor,386
78.975,21.84,54,Keratin-positive tumor,242
164.19,23.595,55,Keratin-positive tumor,342
215.28,22.035,56,Keratin-positive tumor,109
681.135,23.009999999999998,58,Unidentified,190
739.83,22.62,59,Keratin-positive tumor,220
487.305,24.57,60,Keratin-positive tumor,456
676.6500000000001,23.595,61,Unidentified,143
224.25,23.985,62,Keratin-positive tumor,350
413.20500000000004,23.79,63,Keratin-positive tumor,151
464.295,24.375,64,Keratin-positive tumor,445
577.005,25.935000000000002,65,Keratin-positive tumor,633
306.15,24.18,66,Keratin-positive tumor,182
618.345,25.155,67,Keratin-positive tumor,509
311.22,25.545,68,Keratin-positive tumor,104
586.365,24.18,69,Unidentified,122
344.175,27.69,70,Keratin-positive tumor,635
606.645,27.105,71,Keratin-positive tumor,528
362.895,25.545,72,Keratin-positive tumor,498
566.085,28.665,73,Keratin-positive tumor,799
420.03,25.35,74,Keratin-positive tumor,348
402.87,27.495000000000005,75,Keratin-positive tumor,362
391.365,27.105,76,Keratin-positive tumor,246
519.2850000000001,28.08,78,Keratin-positive tumor,468
673.14,26.52,79,Unidentified,177
354.315,30.225,81,Keratin-positive tumor,587
635.115,30.615000000000002,82,Keratin-positive tumor,626
294.06000000000006,30.225,83,Keratin-positive tumor,800
71.565,31.98,84,Keratin-positive tumor,717
147.81,33.15,85,Keratin-positive tumor,559
200.46,32.175,86,Keratin-positive tumor,565
308.685,30.810000000000002,87,Keratin-positive tumor,130
302.44500000000005,31.200000000000003,88,Keratin-positive tumor,430
529.62,31.590000000000003,89,Keratin-positive tumor,498
22.23,30.615000000000002,90,Keratin-positive tumor,188
454.545,31.785000000000004,91,Keratin-positive tumor,303
550.6800000000001,32.37,92,Keratin-positive tumor,532
589.875,32.955,93,Keratin-positive tumor,716
674.895,31.395000000000003,94,Unidentified,339
493.935,33.54,95,Keratin-positive tumor,425
665.73,31.98,96,Unidentified,269
365.04,33.93,97,Keratin-positive tumor,447
84.045,35.295,98,Keratin-positive tumor,826
242.19,35.88,99,Keratin-positive tumor,784
579.345,36.66,100,Keratin-positive tumor,535
573.885,34.71,101,Keratin-positive tumor,177
647.595,33.54,102,Keratin-positive tumor,476
474.82500000000005,34.905,103,Keratin-positive tumor,174
517.725,38.415,104,Keratin-positive tumor,911
130.65,35.49,105,Keratin-positive tumor,297
252.72000000000003,34.71,106,Keratin-positive tumor,282
267.93,34.71,107,Keratin-positive tumor,126
609.1800000000001,35.1,108,Keratin-positive tumor,304
122.85,35.88,109,Keratin-positive tumor,338
479.895,36.075,110,Keratin-positive tumor,216
486.72,37.05,111,Keratin-positive tumor,201
626.925,37.635,112,Keratin-positive tumor,609
33.150000000000006,36.855000000000004,113,Keratin-positive tumor,290
157.17000000000002,37.83,114,Keratin-positive tumor,324
263.25,37.44,115,Keratin-positive tumor,224
384.93,38.61,116,Keratin-positive tumor,533
20.28,37.83,117,Keratin-positive tumor,414
222.10500000000002,39.585,118,Keratin-positive tumor,761
499.395,38.61,119,Keratin-positive tumor,425
375.765,37.245000000000005,121,Keratin-positive tumor,249
544.245,37.83,122,Keratin-positive tumor,305
568.62,40.365,124,Keratin-positive tumor,590
645.0600000000001,40.365,125,Keratin-positive tumor,638
257.78999999999996,38.415,126,Keratin-positive tumor,285
273.0,37.050000000000004,127,Keratin-positive tumor,339
283.33500000000004,41.730000000000004,128,Keratin-positive tumor,987
615.81,38.61,129,Keratin-positive tumor,317
671.97,39.585,131,Keratin-positive tumor,371
350.61,39.974999999999994,132,Keratin-positive tumor,165
127.92000000000002,42.705,133,Keratin-positive tumor,417
421.785,41.145,134,Keratin-positive tumor,552
252.525,41.144999999999996,135,Keratin-positive tumor,167
634.53,40.95,136,Keratin-positive tumor,307
367.96500000000003,43.29,137,Keratin-positive tumor,546
536.835,41.144999999999996,138,Keratin-positive tumor,238
608.985,42.315,139,Keratin-positive tumor,341
659.2950000000001,42.510000000000005,140,Keratin-positive tumor,618
454.155,43.875,141,Keratin-positive tumor,731
24.375,41.925,142,Tumor,94
345.735,44.46,143,Keratin-positive tumor,195
134.94,43.68,144,Keratin-positive tumor,332
227.175,44.265,145,Keratin-positive tumor,101
543.27,45.63,146,Keratin-positive tumor,571
413.01,46.215,147,Keratin-positive tumor,818
389.805,45.63,149,Keratin-positive tumor,381
555.36,45.825,150,Keratin-positive tumor,620
233.22000000000003,46.02,151,Unidentified,255
197.73000000000002,47.97,152,Keratin-positive tumor,806
622.83,44.655,153,Keratin-positive tumor,181
92.235,47.190000000000005,154,Keratin-positive tumor,521
217.23000000000002,46.41,155,Keratin-positive tumor,108
401.115,47.190000000000005,156,Keratin-positive tumor,546
512.85,49.53,157,Keratin-positive tumor,966
604.89,46.605000000000004,158,Keratin-positive tumor,266
164.97,42.705,159,Keratin-positive tumor,700
210.015,47.97,160,Keratin-positive tumor,403
641.355,48.36,161,Keratin-positive tumor,502
525.915,50.31,162,Keratin-positive tumor,889
27.884999999999998,45.435,164,Tumor,377
590.0699999999999,49.53,165,Keratin-positive tumor,630
666.9000000000001,48.945,166,Keratin-positive tumor,419
19.5,48.36,167,Mesenchymal-like,248
484.38,51.09,168,Keratin-positive tumor,819
654.615,50.895,170,Keratin-positive tumor,781
128.115,50.505,171,Keratin-positive tumor,368
81.705,50.895,172,Keratin-positive tumor,605
159.9,52.650000000000006,173,Keratin-positive tumor,709
293.475,53.625,174,Keratin-positive tumor,742
431.34000000000003,53.43000000000001,175,Keratin-positive tumor,642
629.85,50.115,176,Keratin-positive tumor,267
622.635,51.675,177,Keratin-positive tumor,249
440.895,54.015,179,Keratin-positive tumor,473
27.299999999999997,52.650000000000006,180,Unidentified,303
143.52,53.43,181,Keratin-positive tumor,398
217.03500000000003,53.235,182,Unidentified,104
423.54,53.625,183,Keratin-positive tumor,364
616.7850000000001,53.625,184,Keratin-positive tumor,397
15.405,54.015,185,Macrophages,208
53.43,53.82000000000001,186,Keratin-positive tumor,459
447.915,54.405,188,Unidentified,265
628.29,55.769999999999996,189,Keratin-positive tumor,184
208.65,55.77,190,Keratin-positive tumor,316
284.895,54.795,191,Unidentified,400
669.6300000000001,54.405,192,Keratin-positive tumor,264
134.355,57.525000000000006,193,Keratin-positive tumor,881
334.23,56.355000000000004,194,Keratin-positive tumor,330
686.4000000000001,56.355000000000004,195,Tumor,284
121.875,60.84,197,Keratin-positive tumor,1049
264.03,54.6,198,Keratin-positive tumor,332
437.19000000000005,58.5,199,Keratin-positive tumor,365
167.505,57.135000000000005,200,Keratin-positive tumor,274
663.0,58.89,201,Keratin-positive tumor,408
381.03,58.11,202,Keratin-positive tumor,329
599.04,57.33,203,Keratin-positive tumor,402
405.99,60.84,204,Unidentified,146
524.55,58.5,205,Keratin-positive tumor,153
545.22,58.69500000000001,206,Keratin-positive tumor,338
567.45,58.11,207,Keratin-positive tumor,336
590.265,63.57000000000001,208,Keratin-positive tumor,1168
258.57,60.06,209,Keratin-positive tumor,481
79.17,58.5,210,Keratin-positive tumor,126
100.42500000000001,61.620000000000005,211,Keratin-positive tumor,548
110.565,59.475,212,Keratin-positive tumor,346
552.825,61.035,213,Unidentified,478
672.165,61.230000000000004,214,Keratin-positive tumor,423
32.955,60.45,215,Keratin-positive tumor,434
82.875,62.790000000000006,216,Keratin-positive tumor,472
606.84,63.18000000000001,217,Keratin-positive tumor,735
741.0,62.205,218,Mesenchymal-like,421
506.025,61.815,219,Keratin-positive tumor,307
266.565,65.715,220,Keratin-positive tumor,866
490.23,61.815000000000005,221,Keratin-positive tumor,254
144.69,62.79,223,Keratin-positive tumor,185
378.3,63.375,224,Keratin-positive tumor,297
