x,y,label,cell_type,cell_size_pixel
690.69,12.675,2,Keratin-positive tumor,107
696.9300000000001,13.65,3,Keratin-positive tumor,162
705.7049999999999,12.285,4,Keratin-positive tumor,68
718.185,14.82,5,Keratin-positive tumor,575
736.71,13.65,6,Keratin-positive tumor,289
762.06,12.870000000000001,7,Tumor,122
744.12,17.355,8,Keratin-positive tumor,872
764.9850000000001,16.185,9,Mesenchymal-like,173
704.5350000000001,18.330000000000002,10,Keratin-positive tumor,694
694.98,21.84,11,Keratin-positive tumor,876
720.72,21.255000000000003,12,Mesenchymal-like,479
732.4200000000001,21.060000000000002,13,Keratin-positive tumor,689
598.065,20.28,14,Tumor,309
784.6800000000001,21.450000000000003,16,Tumor,334
712.14,21.060000000000002,17,Keratin-positive tumor,230
762.06,18.915,19,Mesenchymal-like,426
688.5450000000001,28.860000000000003,21,Keratin-positive tumor,1066
725.4000000000001,25.935000000000002,23,Keratin-positive tumor,419
581.2950000000001,25.545,24,Macrophages,266
709.4100000000001,27.105,26,Keratin-positive tumor,310
770.835,29.445,29,Mesenchymal-like,239
449.28000000000003,29.055000000000003,30,Keratin-positive tumor,236
736.71,32.76,33,Keratin-positive tumor,551
283.14,30.03,34,Unidentified,220
573.105,32.76,36,Tumor,617
746.46,33.540000000000006,37,Keratin-positive tumor,842
468.975,30.42,38,Tumor,158
756.7950000000001,34.71,39,Keratin-positive tumor,744
728.52,34.32,40,Keratin-positive tumor,590
767.325,33.93,41,Keratin-positive tumor,501
776.49,33.345,42,Mesenchymal-like,233
444.6,35.49,43,Keratin-positive tumor,577
607.0350000000001,34.32,44,Keratin-positive tumor,326
709.02,33.93,45,Keratin-positive tumor,119
494.13,32.370000000000005,46,Tumor,143
455.52,32.370000000000005,47,Keratin-positive tumor,186
597.09,34.125,48,Keratin-positive tumor,1374
482.625,33.93,49,Mesenchymal-like,309
450.255,35.295,50,Keratin-positive tumor,134
714.09,37.44,52,Keratin-positive tumor,1011
466.83000000000004,39.585,53,Keratin-positive tumor,1216
474.045,36.27,54,Keratin-positive tumor,303
512.85,40.95,55,Keratin-positive tumor,1129
762.645,36.27,56,Keratin-positive tumor,138
613.08,34.905,57,Tumor,395
629.46,37.635000000000005,58,Unidentified,141
698.6850000000001,38.805,59,Keratin-positive tumor,783
453.375,37.83,60,Keratin-positive tumor,138
782.73,36.465,61,Mesenchymal-like,249
286.06500000000005,36.66,62,Tumor,288
486.525,38.415000000000006,64,Keratin-positive tumor,594
658.32,40.95,65,Keratin-positive tumor,784
724.425,41.925,68,Keratin-positive tumor,744
495.105,39.0,69,Keratin-positive tumor,210
619.32,41.145,70,Keratin-positive tumor,923
636.09,37.44,71,Keratin-positive tumor,195
672.165,40.17,72,Keratin-positive tumor,357
642.5250000000001,39.975,73,Keratin-positive tumor,420
678.0150000000001,41.145,75,Keratin-positive tumor,246
347.295,39.975,77,Keratin-positive tumor,284
504.66,42.510000000000005,79,Mesenchymal-like,621
687.5699999999999,42.510000000000005,80,Keratin-positive tumor,748
665.925,41.535,81,Keratin-positive tumor,356
634.335,44.265,82,Keratin-positive tumor,431
358.41,44.46,84,Keratin-positive tumor,829
650.715,42.510000000000005,85,Keratin-positive tumor,470
744.7049999999999,44.265,86,Keratin-positive tumor,657
434.265,40.754999999999995,87,Keratin-positive tumor,165
769.08,42.120000000000005,89,Keratin-positive tumor,541
406.77,46.605000000000004,90,Keratin-positive tumor,752
734.175,42.120000000000005,91,Keratin-positive tumor,298
779.8050000000001,46.995000000000005,93,Keratin-positive tumor,1141
454.93500000000006,50.7,95,Keratin-positive tumor,1218
287.625,43.485,96,Tumor,374
625.5600000000001,44.85,97,Keratin-positive tumor,222
398.775,44.85,98,Keratin-positive tumor,291
424.71000000000004,44.265,99,Keratin-positive tumor,597
438.16499999999996,46.995000000000005,100,Keratin-positive tumor,613
711.5550000000001,45.825,103,Keratin-positive tumor,389
756.0150000000001,49.92,105,Keratin-positive tumor,1328
487.305,46.019999999999996,106,Keratin-positive tumor,175
700.2450000000001,49.53,107,Keratin-positive tumor,699
348.855,47.97,109,Keratin-positive tumor,295
686.205,46.995000000000005,111,Keratin-positive tumor,379
733.7850000000001,47.97,112,Keratin-positive tumor,187
54.795,50.7,114,Keratin-positive tumor,611
600.0150000000001,47.97,115,Mesenchymal-like,248
663.585,52.260000000000005,116,Keratin-positive tumor,745
674.7,48.75,117,Keratin-positive tumor,377
343.785,50.894999999999996,120,Keratin-positive tumor,521
366.015,47.97,121,Keratin-positive tumor,250
394.28999999999996,47.775000000000006,122,Keratin-positive tumor,277
608.9850000000001,48.165000000000006,124,Keratin-positive tumor,694
642.135,48.55500000000001,125,Keratin-positive tumor,224
654.81,50.31,126,Tumor,156
482.43,47.97,127,Keratin-positive tumor,176
769.2750000000001,48.94500000000001,129,Tumor,272
372.06000000000006,49.14,130,Keratin-positive tumor,155
651.3,51.285,131,Mesenchymal-like,160
525.915,46.215,132,Keratin-positive tumor,746
475.605,49.725,133,Keratin-positive tumor,242
418.86,53.040000000000006,135,Keratin-positive tumor,594
492.18000000000006,52.065000000000005,136,Keratin-positive tumor,615
66.105,52.650000000000006,137,Keratin-positive tumor,413
354.70500000000004,51.480000000000004,139,Keratin-positive tumor,157
645.84,50.895,140,Keratin-positive tumor,231
725.205,51.285,141,Keratin-positive tumor,287
740.415,55.965,142,Keratin-positive tumor,998
329.355,53.625,143,Keratin-positive tumor,569
687.96,53.625,144,Keratin-positive tumor,305
51.285,54.405,146,Keratin-positive tumor,715
431.925,53.43,147,Keratin-positive tumor,430
627.9000000000001,53.82,150,Keratin-positive tumor,917
371.475,54.60000000000001,151,Tumor,151
510.12,54.99,152,Keratin-positive tumor,1087
392.535,55.77,156,Keratin-positive tumor,698
400.725,53.235,157,Keratin-positive tumor,119
444.795,50.895,158,Keratin-positive tumor,477
715.26,52.260000000000005,159,Tumor,292
470.34000000000003,52.845,160,Keratin-positive tumor,248
578.37,53.625,161,Tumor,165
