x,y,label,cell_type,cell_size_pixel
61.815,14.43,2,Macrophages,314
108.22500000000001,12.09,3,Macrophages,67
131.625,16.185000000000002,4,Keratin-positive tumor,448
155.41500000000002,14.04,5,Keratin-positive tumor,233
184.86,13.65,6,DC / Mono,259
213.91500000000002,14.625,7,Macrophages,283
236.34,14.04,8,Keratin-positive tumor,224
242.775,14.625,9,Keratin-positive tumor,220
259.35,11.895,10,Keratin-positive tumor,59
279.435,14.43,11,CD8-T,500
293.28000000000003,14.43,12,Keratin-positive tumor,252
337.54499999999996,14.04,13,Keratin-positive tumor,363
388.635,16.77,14,Keratin-positive tumor,712
413.20500000000004,13.844999999999999,15,CD8-T,243
420.42,12.870000000000001,16,Macrophages,118
426.65999999999997,12.09,17,CD4-T,72
433.485,13.065000000000001,18,CD8-T,145
443.04,13.455000000000002,19,CD8-T,164
452.985,14.235,20,Macrophages,308
472.29,16.38,21,Keratin-positive tumor,724
500.76,12.675,22,DC / Mono,162
514.02,14.235,23,Macrophages,278
531.5699999999999,17.745,24,Keratin-positive tumor,1121
547.1700000000001,14.235,25,Keratin-positive tumor,556
578.565,13.455000000000002,26,CD8-T,277
588.9000000000001,15.795000000000002,27,CD8-T,450
599.04,14.235,28,Keratin-positive tumor,422
608.595,12.870000000000001,29,Keratin-positive tumor,88
614.25,13.065000000000001,30,Keratin-positive tumor,105
624.585,14.625,31,Keratin-positive tumor,502
672.945,13.260000000000002,32,CD8-T,224
686.79,17.55,33,CD8-T,925
720.135,14.82,34,Other immune,712
732.8100000000001,12.870000000000001,35,CD8-T,133
752.3100000000001,12.48,36,Mono / Neu,86
764.2049999999999,13.65,37,Macrophages,158
776.6850000000001,12.870000000000001,38,Macrophages,49
124.215,14.235,39,Keratin-positive tumor,246
225.22500000000002,18.330000000000002,40,Macrophages,944
320.775,16.965,41,Keratin-positive tumor,822
351.195,15.405000000000001,42,Keratin-positive tumor,362
663.0,14.235,43,CD8-T,348
74.1,14.235,44,CD3-T,157
371.08500000000004,16.965,45,CD8-T,770
97.89000000000001,14.43,46,CD4-T,275
301.275,17.55,47,Keratin-positive tumor,892
745.29,13.844999999999999,48,CD4-T,207
772.395,15.015,49,CD8-T,341
650.9100000000001,14.82,50,Macrophages,503
739.83,14.625,51,Other immune,227
780.1949999999999,14.04,52,Macrophages,171
251.94,18.135,53,Keratin-positive tumor,976
92.03999999999999,15.405000000000001,54,CD8-T,308
106.665,15.600000000000001,55,Macrophages,256
200.46,17.16,56,Keratin-positive tumor,730
695.565,16.185000000000002,57,CD8-T,572
262.47,16.965,58,Keratin-positive tumor,421
380.44500000000005,17.355,59,Keratin-positive tumor,428
459.225,18.33,60,Macrophages,699
149.95499999999998,20.28,62,Keratin-positive tumor,1020
427.44,17.94,63,CD8-T,512
209.235,15.600000000000001,64,Macrophages,224
