site_ID,patient_ID,PC1,PC2,PC3,arch1_prob,arch2_prob,arch3_prob,arch4_prob
927,10,39.25673397657237,-34.767427077614336,14.453765038896533,0.0,0.15493207390143043,0.21247389060009644,0.6325957265376659
928,10,39.535096389785664,-32.36568955994591,-0.9664277662799422,0.0,0.1070738301020042,0.2064802149070287,0.6864467451606653
929,10,65.33465291379197,-42.76132813192371,-0.2755285582714305,0.0,0.12510205251460477,0.13493945265946541,0.7399596173199314
930,10,105.39102887109838,-53.44961338195253,8.53145054754255,0.0,0.1840738006578945,0.03250321133977095,0.7834243847496583
931,10,39.775136259567994,-32.44098284526815,4.952860072113197,0.0,0.12666959557082808,0.20869927043552244,0.6646321718996845
932,10,40.54036785474174,-35.86442920898836,11.453757290940644,0.0,0.1452749776930855,0.20692395076965625,0.6478027124678875
933,10,19.023935517584544,-24.00036164307873,-18.579809489218764,0.003215341554801171,0.03598791977529962,0.25521367616461943,0.7055830625052797
934,10,39.581516223265815,-35.47137855259148,-0.1382098510000871,0.0,0.10665120805926158,0.2039836102142121,0.6893663267173146
935,10,36.118002764812985,-31.359497309031198,-0.2719950290379371,0.0,0.10688493483985724,0.21600404607870516,0.6771118364381332
936,10,59.245486844843875,-40.29365684364772,-4.759348203082038,0.0,0.10668081336407928,0.14974313530673367,0.7435769135345133
937,10,57.92883898544775,-44.203269867271175,4.5946135641087125,0.0,0.13201784335129937,0.15396201088670083,0.7140218428435535
938,10,109.44339552135365,-58.20092203479677,-10.545064239703981,0.0,0.12073864346986495,0.009172010677094762,0.8700903167741284
939,10,39.209281071020094,-32.716091011149786,-0.011041777769807037,0.0,0.10951586103527915,0.20741889206691586,0.6830661230072255
940,10,50.839540940591114,-35.523917486015335,3.024083009721235,0.0,0.12851044213949805,0.1781734906488001,0.6933170123066594
941,10,29.95685172634078,-30.949070113012603,7.018642588803981,0.0,0.12492173289661411,0.23484322886763465,0.64023630210169
942,10,36.37520918204965,-31.650520641084228,3.684173696156309,0.0,0.11983384768690455,0.21703664213486445,0.6631305151376797
943,10,69.09057548987427,-41.29892419668408,11.20009886300162,0.0,0.16811462680695083,0.13270592962200828,0.6991807811732175
944,10,69.02299463411359,-42.125966793491614,24.782952741042692,0.0,0.21177530502845954,0.13871046681542656,0.6495162205221999
945,10,103.79319348093755,-53.658769748531455,-9.769384239384834,0.0,0.12215857664562509,0.027320792655025915,0.8505213329240869
946,10,101.23331591100926,-51.1558429448397,3.4616297161546745,0.0,0.16552965910452797,0.04218406351724065,0.7922873495019491
947,10,56.90233416153867,-39.5891408942452,20.579854003746146,0.0,0.18816676619484216,0.1683357913226815,0.6434993598609494
948,10,46.01341016642196,-36.55251148764017,11.465492730106492,0.0,0.15021454279248858,0.1930429221325261,0.6567440837474087
949,10,74.7477491500649,-46.00386682921279,1.5662046786143684,0.0,0.13746201276400277,0.11010142693745323,0.7524378134142805
950,10,105.70439827044014,-51.51198299728612,-1.5525474393993792,0.0,0.1532883717571348,0.02859440722052941,0.8181179867029681
951,10,74.74473080533299,-42.56557751036729,8.92668602087892,0.0,0.165145907159527,0.11675946342764365,0.7180958338423326
952,10,74.94149640203794,-42.50708850322592,28.696563173281984,0.0,0.23029237593663826,0.12591561500178705,0.6437940269352683
953,10,54.72974092865864,-35.93829608293331,2.5519289019234326,0.0,0.13052115660857808,0.16814109989244608,0.7013385952199219
954,10,49.216497175710145,-39.119665031139725,3.586095179016115,0.0,0.12500055800853124,0.179156031341025,0.6958448002321246
955,10,75.52901684417004,-46.87067195199261,1.1425372669278522,0.0,0.13598210041039677,0.10722448142192736,0.7567947199520808
956,10,84.2555650103984,-42.59792753680805,-5.807689096551553,0.0,0.12649882429164425,0.08653060172441701,0.7869708815931153
