index,0,1,2,3,4,5,6,7,site_idx,patient_idx
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,88
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,88
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,88
3,1.7784740300892514,0.2839809099819756,0.0,0.0,0.5272233382741452,0.13216655008588626,0.0,0.0,3,88
4,0.245569713043314,0.0,0.2771327227312653,0.0,3.643197628858109,0.0,1.1563290667658277,0.0,4,88
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,88
6,0.42387092425591993,0.0,0.0677350208665254,0.0,0.0,0.0,0.0,0.0,6,88
7,1.116608825657161,0.0,0.0,0.0,0.10302682366826134,0.0,0.0,0.0,7,88
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,88
9,0.9018111455391333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,88
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,88
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,88
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,88
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,88
14,0.30525776751122724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,88
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,88
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,88
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,88
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,88
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,88
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,88
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,88
22,0.2785985351874264,0.0,0.0,0.0,0.11523037748719982,0.0,0.0,0.0,22,88
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,88
24,0.3960948115620686,0.0,0.31733661555545534,0.0,0.0,0.0,0.0,0.0,24,88
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,88
