index,CD8-T,Other immune,DC / Mono,CD3-T,B,NK,Keratin-positive tumor,Tumor,CD4-T,Mesenchymal-like,Macrophages,Endothelial,Tregs,Unidentified,DC,Mono / Neu,Neutrophils,site_id,patient_id
0,0.0,0.0008456286077340149,5.231818143810664e-05,0.0,0.00020148192616398875,0.00015202236711582578,0.004265919761881328,0.0,0.0,0.0,0.00035369219392362213,0.0,0.0,8.542226829099724e-05,0.0,0.0,0.0,0,1
1,0.0004377803697705842,0.0001991707172423412,0.00022226364759561203,9.33076301667477e-05,0.0005555096540106712,0.0,0.0041018747767530405,0.0,4.7536298210818154e-05,0.0,0.00015951631738188023,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2,0.0001750940637137058,0.0003397359725735656,0.00028160137727594565,0.0005335084017042925,0.000432474360970713,0.0,0.00341115442052445,0.0,0.00014527441551869793,0.0,0.0004022861622869828,0.0,0.0,0.0,0.0,0.0,5.114908745519181e-05,2,1
3,5.8518805557569636e-05,0.00011180239402344466,0.00043398715370434563,0.00011765822034421033,0.0018289711427140081,0.0,0.005039371750752469,0.0,0.000528422934408845,0.0,0.0002490540248826676,0.0,0.0,0.0,0.0,0.0,0.0,3,1
4,0.00015557443365116135,0.00028091699279689556,0.0003778474417870572,9.096027931272155e-05,0.00018153657220378603,0.0,0.0040115979935572334,0.0,0.0,3.862504958862023e-05,0.00010750323588269935,0.0002506641994946816,0.0,0.0001622040236528541,0.0,0.0,0.0,4,1
5,0.0003092881539978271,0.00045213124063965375,0.00022501441302360482,0.0002057682279565373,0.0,0.0,0.003228832048794007,0.0,3.555479387357777e-05,0.0,0.0007115427382116231,4.41840924052835e-05,0.0,0.00010163870369435819,0.0,0.00022773710339456035,0.0,5,1
6,0.0,0.0,0.00011268942327141613,0.00019151001135449773,0.0006176938649884321,0.0,0.004587829375928753,0.0,4.545348839083833e-05,0.0,0.0002496390545087842,0.0,0.0,0.0,0.0,0.0,0.0,6,1
7,0.0005669249252102196,0.00016390649773823576,0.00048209119856425524,0.000305890881042373,0.0,0.0,0.0033113059254475485,0.0,0.0003576401136085299,0.00029755482436500747,0.00043518760299646425,0.0,0.0,0.0,0.0,0.0,0.0,7,1
8,0.0002974230356004562,0.0003378906963762308,0.0,0.00017365401772254986,0.000836692434135867,0.0,0.004215678204067235,0.0,0.00017197781306329808,0.0,0.00011888478460115718,0.0,0.0,0.0,0.0,0.0,0.0,8,1
9,0.0006594661645804682,3.8400061083030044e-05,0.0012737916200052702,0.0017260095316814128,0.0019910085397956607,0.0,0.002594579640026129,0.0,0.0007269954743094408,0.00019317911499238435,0.0003012400857496839,0.0,0.0,0.0,0.0,0.0,0.0,9,1
10,7.560043748880776e-05,0.00019104748497339116,0.0009599102419380525,0.0005097324911650014,0.0005839056290414535,0.0,0.0040113678717074,0.0,0.0,0.0,0.0003216020818636388,0.0,0.0,0.00029973059377349224,0.0,0.0,0.0,10,1
11,0.00039496050239120885,0.000305567658389614,3.734752193931721e-05,0.0009309206140274176,0.0007651944918270787,0.0,0.003962367650343745,0.0,0.000878847343601433,0.0,0.00023328933894631464,0.0005413274530276026,0.0,0.0,0.0,0.0,0.0001706724393034845,11,1
12,0.00012234945354630905,0.00015149808020924383,0.00039972780041591525,0.00023155325723078296,6.566143827595076e-05,0.0,0.003978992622320604,0.0,0.0,0.00021127884311167893,0.001063449851648379,0.00017673941911002734,0.0,0.00010075533644727329,0.0,0.0,0.0,12,1
13,0.00023591567595628905,0.0007950180499423214,0.0007361263080867432,0.0009032848035210723,0.00012990827612614872,0.0,0.0035525849907877124,0.0,0.0006489684761865096,0.0,0.00044645341937081713,0.0,0.0,0.0,0.0,0.0,0.0,13,1
14,0.00037662128975292245,0.000482424442231665,0.0002809901375254871,0.00020460544948328087,0.0,0.0,0.0037507658050894214,0.0,0.0,0.0,0.00015783675428824808,0.00020823376025851605,0.0,0.00014820545431354587,0.0,5.223988334912033e-05,0.0,14,1
15,3.482080048663251e-05,0.0001357366308581573,0.0,0.0,0.0,0.0,0.004333435417906402,0.0,0.0,0.0,0.0008195315107107899,0.0,0.0,0.00020806246532774513,0.0,0.0,0.0,15,1
16,0.0,0.00021757215810995663,0.00018375672977847645,0.0006220169334316093,0.0,0.0,0.0035237297322046946,0.0,0.0,0.000163722236696802,0.00017131414664114697,0.0,0.0,0.0,0.0,0.0,0.0,16,1
17,0.00036462591313483634,0.000344080849176998,0.0006379221229245594,0.0003526595886926515,0.002445705320561968,0.0,0.003103635439153048,0.0,0.0010937908638842379,0.000384896990159705,0.00029335677546017783,7.758587592548617e-05,0.0,0.0,0.0,0.0,0.0,17,1
18,0.0005049176939445477,0.0003690077642921131,0.00010898409656327742,0.0,0.00013232793159315376,7.684863103925515e-05,0.004103427976380685,0.0,0.00028449429957583993,0.0,0.0006262684482695786,0.00021223630482563818,0.0,0.0,0.0,0.0,0.0,18,1
19,0.0008409004139903517,0.00020773709497910243,0.00019237079981861444,0.0004944945056311541,0.0023264618146425784,0.0,0.0034087781459904865,0.0,0.0005689572809041653,0.0,0.000395666667678589,0.0,0.0,0.0,0.0,0.0,0.0,19,1
20,7.23774650139327e-05,0.00020882925580543605,9.159878749179303e-05,0.00029722644361231376,0.0002251271649144596,0.0,0.00321444648291338,0.0,3.754425567740202e-05,0.0,0.0001608521829527924,0.0,0.0,0.0,0.0,0.0,0.0,20,1
