a1,a2,a3,a4,a5,a1a2,a1a3,a1a4,a1a5,a2a3,a2a4,a2a5,a3a4,a3a5,a4a5
0.17523669962783497,0.077960587899363,0.19644165629246957,0.9007077339200517,1,0.5140340910136492,0.09806330949873467,0.3225906142932889,0.06352757556610994,1,0.340455872703169,0.06352757556610994,0.5140340910136492,0.04086078237663503,0.8460296961388548
0.8168622438757851,1.0722978090003923e-7,0.5140340910136492,0.5140340910136492,0.043022163013914864,0.5529953310338617,0.7480412176541303,1,0.6729359871829491,0.09806330949873467,0.05781059859733687,0.005851379637887456,1,0.9461734495570298,0.0011698523201335318
0.6694357259510295,0.18342106532242092,1,1,0.6694357259510295,1,0.8168622438757851,0.7480412176541303,0.5140340910136492,0.8168622438757851,0.5140340910136492,0.22938349827174342,1,0.9007077339200517,1
0.22460276562907389,6.679097530072185e-9,1,0.27995138339748016,0.08132644964349119,0.8460296961388548,0.6694357259510295,0.6694357259510295,0.043177194288910696,0.11122147224021489,2.1096658669572544e-5,4.691919591942556e-7,0.9007077339200517,0.5529953310338617,0.6694357259510295
0.02224802617651736,1.4748786243594202e-6,0.0075228764453030075,7.267441341755188e-9,1,0.0075228764453030075,0.003134315860824357,0.06352757556610994,0.06488852824936436,7.229786484618145e-4,0.5529953310338617,0.0026395579716946426,0.5140340910136492,0.043022163013914864,5.852639783743515e-10
0.27995138339748016,4.039636554043245e-5,0.04086078237663503,1,0.7759573895622984,0.8460296961388548,0.40081257200952214,0.4981407992044719,0.3225906142932889,0.8168622438757851,0.15977261451540442,5.716463762848505e-4,0.06352757556610994,0.00368592797802948,1
1,3.027417378097203e-11,0.8168622438757851,0.8460296961388548,0.11017385685757519,0.5140340910136492,1,0.8460296961388548,1,0.09806330949873467,2.3533075184186466e-4,6.902051194518722e-6,0.7759573895622984,0.9461734495570298,0.40081257200952214
0.005851379637887456,0.5529953310338617,0.5140340910136492,0.0026395579716946426,1,0.08132644964349119,0.04086078237663503,0.04086078237663503,0.02224802617651736,0.5140340910136492,0.6694357259510295,0.8460296961388548,1,0.4981407992044719,0.004430393977746712
0.6729359871829491,5.868442664803423e-9,1,0.7480412176541303,0.29484423674275934,0.8168622438757851,0.8460296961388548,1,0.6694357259510295,0.03072495847038746,5.275960714967706e-5,2.6866992705387544e-5,0.5140340910136492,0.7480412176541303,0.8460296961388548
1,0.043022163013914864,0.077960587899363,0.005851379637887456,0.11122147224021489,0.8928539253491322,0.8928539253491322,0.8168622438757851,0.9007077339200517,0.4981407992044719,0.9461734495570298,6.902051194518722e-6,5.716463762848505e-4,0.3225906142932889,0.5529953310338617
