index,CD8-T,Other immune,DC / Mono,CD3-T,B,NK,Keratin-positive tumor,Tumor,CD4-T,Mesenchymal-like,Macrophages,Endothelial,Tregs,Unidentified,DC,Mono / Neu,Neutrophils,site_id,patient_id
0,0.00011293358401870544,0.000235434312430148,0.0,3.5643335635684295e-05,0.00012541366678542313,0.0,0.0036775968079870956,0.00014126624365753767,0.0,8.823541981040994e-05,0.00011898034030804798,0.0,0.0,0.0,0.0,0.0,0.0,0,1
1,0.00012789732355542824,0.00034506676133418997,0.0,0.00047160217897620354,0.00621330254284,0.0,0.0015715150479987173,0.0,0.00029889325748350473,0.0,4.991370663810651e-05,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2,0.0,0.00016611730453308521,0.0,0.0,0.0,0.0,0.0030113664526723516,0.0,0.0,0.0,8.302899912749552e-05,0.0,0.0,0.00042883722097569933,0.0,0.0,0.0,2,1
3,0.0002489113792639331,0.0,0.00030691910664149664,0.0004656691549419278,0.00020231800043649827,0.0,0.00428522572536465,0.0,4.8239346030053335e-05,0.0,0.0008106579538639207,0.0,0.0,0.0,0.0,0.0,0.0,3,1
4,0.00016002125098372365,5.068292813935299e-05,0.0,3.667033608284805e-05,7.400433848014973e-05,0.0,0.0030683059990578064,0.0,0.0,0.0,0.001069046818804265,7.161757969630966e-05,0.0,0.0,0.0,0.0,0.0,4,1
5,0.00032699680790595164,0.00041513315830724333,8.549526796975231e-05,0.0003808378883732202,0.0007016700482103252,0.0,0.004134572325319591,0.0,7.743074792348678e-05,0.0,0.00027841602105122063,0.0,0.0,3.9560619958697234e-05,0.0,0.0,0.0,5,1
6,0.0,0.00011768855610031975,0.0,0.0,0.0002591517289377958,0.0,0.0039301934846478065,0.0,0.0,9.780341023994787e-05,0.0007865386775294289,0.0,0.0,0.0,0.0,0.0,4.0636846611589924e-05,6,1
7,0.0003981868412011057,0.0002923716213265065,0.00033712809200533316,0.0,0.0004440857282521056,0.0,0.003956189848798055,0.0,0.0,0.0004952147829906384,0.0005337210958256952,0.00022932846382869659,0.0,0.0,0.0,0.0,0.00016867869292530908,7,1
8,0.0,3.6795241979279695e-05,8.267368305251213e-05,0.0,0.00014302516015378552,0.0,0.003967408525310836,0.0,4.3831846072179196e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1
9,0.00027311277355881916,0.000983464915952947,0.00040991993435578265,0.00034319713299065186,0.00027168468137114506,0.0,0.0034139896014064456,0.0,0.0,0.0,0.0004432833187931298,0.0,0.0,4.1322523219217784e-05,0.0,0.0,0.0,9,1
10,0.00032606759388464825,0.00016657670869198965,0.0,0.000246768767018596,0.00036721410408481947,0.0,0.003618419312201018,0.0,0.00028277786642274784,0.0,0.0,0.0,0.0,0.00010542963792326435,0.0,0.0,7.61979593108928e-05,10,1
11,0.00022308799463279503,0.0002075906662860347,0.0004920141407961236,0.0004912441389355979,0.0006919832015173128,0.0,0.0035370907177916643,0.0,0.00028294273961168993,0.0005387293141358949,0.0003019411452111202,0.0,0.0,0.00020682835750891266,0.0,0.0,0.0,11,1
12,7.21008744145265e-05,0.00021800824592976023,0.0,0.0,0.0,0.0,0.004082011862041821,0.0,0.0,0.0,0.0008865697362871556,0.0,0.0,0.00017108632370133704,0.0,0.0,0.0,12,1
13,0.0010228043808284749,0.0,0.0004910343025359851,0.0003596303615409511,0.0007742208748918467,0.0,0.0023128176735399027,0.0,0.0003722004437834,0.0,6.506621513490989e-05,0.0,0.0,0.0,0.0,0.0,0.00011820842523412091,13,1
14,0.0003561901026401515,0.0006830812760282174,0.0006842458225120385,0.0008633961360766851,0.00039992317971835364,0.0,0.003307456809008621,0.0,0.00042494245302425465,0.0,0.0006997658789844886,0.0,0.0,5.4002936357739076e-05,0.0,0.00010373156882532025,0.0,14,1
15,0.0003509135412569173,0.0003416799700876866,0.00012609337053393527,0.00038539391272108506,9.084077002935466e-05,0.0,0.004309190103031979,0.0,0.00037861341610064285,0.0,0.0007521021400297304,6.0269764957115285e-05,0.0,0.0,0.0,0.0,0.0,15,1
16,9.492222801251915e-05,8.368316615658248e-05,0.0002386532189217952,0.00011744293667655784,0.0006055148232009372,0.0,0.003846875116890231,0.0,0.00012547101103200345,5.9482919568661354e-05,0.0003048642587385108,0.0,0.0,0.0,0.0,0.0,0.0,16,1
17,0.00034856400408749455,0.00044288628997804985,8.105877698448802e-05,0.0007759762093791807,0.0008751547881881224,0.0,0.0047570049855218555,0.0,0.0,0.0,0.00013776066687424916,0.0,0.0,0.0,0.0,0.0,0.0,17,1
18,0.0009277352354692625,0.0002282153689129697,0.00014943208728345275,0.0007794384921294468,0.002606776640568551,0.0,0.003347220726853891,0.0,0.0006213933914080481,0.0,0.0002550657822110996,0.0,0.0,0.0,0.0,0.0,0.0,18,1
19,0.00018987995501624778,0.00014947486631441894,0.0006761525404355387,0.0004589515496684324,0.00029669374889664034,0.0,0.003883650994663874,0.0,0.0002544561924643819,0.0,0.0007870461232540024,0.0,0.0,0.0,0.0,0.0,0.0,19,1
20,5.3588970178435354e-05,0.0009914738287542927,3.6092119808449904e-05,0.00032597360892037107,0.00023091192111713644,0.0,0.0036283304300927703,0.0,0.0,0.00022661562857932005,0.0006105149277491719,0.00015469694180341288,0.0,0.00031566321670807265,0.0,0.0,0.0,20,1
21,0.0,0.0,0.0004057318688166008,0.0002148604469833398,0.00011274881080177741,0.0,0.0035297348014566884,0.0,0.0,0.0,0.00011163743752740331,0.0,0.0,0.0,0.0,0.0,0.0,21,1
