"","CD8.T","Other.immune","DC...Mono","CD3.T","B","NK","Keratin.positive.tumor","Tumor","CD4.T","Mesenchymal.like","Macrophages","Endothelial","Tregs","DC","Mono...Neu","Neutrophils","bb"
"1",0,0.0239333906789383,0,0,0.939926420726099,0,0,0,0.0272314918593235,0.00890869673563945,0,0,0,0,0,0,"bb1"
"2",0,0.0118361731925978,0,0.00371843094515097,0.946488172014242,0,0.00635387140926346,0,0.0270038874088641,0.00459946502988134,0,0,0,0,0,0,"bb1"
"3",0,0,0,0,0.88347333318354,0,0,0,0.103458192589538,0,0.0130684742269211,0,0,0,0,0,"bb1"
"4",0.00330831998197009,0,0,0,0.909860403910372,0,0.00312137640530573,0,0.083709899702352,0,0,0,0,0,0,0,"bb1"
"5",0.00519560851052513,0,0,0,0.874988622126133,0,0,0,0.112309929959716,0,0.00750583940362524,0,0,0,0,0,"bb1"
"6",0.0279357848844593,0,0,0.00337886564183363,0.892624195698046,0,0,0,0.0724307175596495,0,0.00363043621601119,0,0,0,0,0,"bb1"
"7",0.00332433799564865,0,0,0,0.921808489091003,0,0,0,0.0748671729133488,0,0,0,0,0,0,0,"bb1"
"8",0.00362209920414625,0,0,0,0.892466493715336,0,0,0,0.100352938734546,0,0.00355846834597122,0,0,0,0,0,"bb1"
"9",0,0,0,0,0.901764936475426,0,0,0,0.0848960562169041,0,0.0133390073076701,0,0,0,0,0,"bb1"
"10",0.644028473915626,0,0.00632824329786105,0.00360232648384878,0,0.0387626932724589,0.0334281549075179,0,0.223072309122536,0,0.0135833903069545,0,0,0.0371944086931975,0,0,"bb2"
"11",0.447534128740275,0,0.0210759179503861,0.0126333691113683,0.0138120013267123,0.0405832052915998,0,0,0.404565302997058,0,0.0450205968352835,0,0,0.00357599723991518,0,0.0111994805074015,"bb2"
"12",0.602810750636817,0,0.00218936205993951,0.00253300260346787,0,0.0129994748959676,0.0241646993883322,0,0.29979412164592,0,0.0356918127002574,0,0,0.0111923926402758,0,0.00862438342902244,"bb2"
"13",0.604331743748068,0,0.00307092070657993,0.00254012114854626,0,0.0492152614257046,0,0,0.308270319472253,0,0.00891002519077587,0.00248334688669105,0,0.00973270168633705,0,0.0114455597350435,"bb2"
"14",0.630552755362376,0,0.0178909561369286,0,0,0.0475648930744941,0.0375716266451321,0,0.233690521200956,0,0.00724290913564493,0,0,0.0254863384444683,0,0,"bb2"
"15",0.629167964306557,0,0.0244327730347931,0.00324695286552001,0,0.0194443206448814,0.01048565450282,0,0.276027663885884,0,0.0045417566830827,0,0,0.0326529140764613,0,0,"bb2"
"16",0.473209029165974,0,0.0284030329811226,0.00197498419624489,0.00580997657247782,0.0156701740248521,0.00278619649473735,0,0.407632408985397,0,0.0310454131185048,0.00243704587039251,0.027447588510959,0,0.0035841500793382,0,"bb2"
"17",0.350842778295439,0,0.00214476828548561,0.0172680713014,0,0,0,0,0.59337121268606,0,0.00968291954824152,0,0.0227630709579159,0.00392717892545796,0,0,"bb2"
"18",0.279401122279849,0.00233003967509423,0.0565094167385005,0.00352448223908316,0,0.0254610845643529,0.0187346666084522,0,0.576365766889541,0,0,0,0.0147284665926115,0.022944954412515,0,0,"bb2"
"19",0.309345743826535,0.00390848905584355,0.0464856621604414,0.0132407273633692,0.0114181992683417,0.0101631531584532,0.0273343155034157,0,0.518509845723073,0,0.0435443804101903,0,0,0,0,0.0160494835303375,"bb2"
"20",0.484101710362571,0,0.0130303061034827,0,0,0.0386427808445208,0.00696016208869998,0,0.334459013822702,0,0.0945883465201587,0,0,0.00336000542437021,0,0.0248576748334941,"bb2"
"21",0.492364116444144,0,0.00416200190684451,0.0130305460494777,0,0,0.022743414235093,0,0.403595927750013,0.00287644232156768,0.00357156308284336,0,0,0.0475383755619381,0,0.0101176126480784,"bb2"
"22",0,0,0,0,0,0,0.994389702788539,0.00561029721146074,0,0,0,0,0,0,0,0,"bb3"
"23",0,0,0,0,0,0,0.958153254408808,0.0203902058025412,0,0,0.00905155840434526,0,0,0,0,0.0124049813843051,"bb3"
"24",0,0,0,0,0,0,0.996504424552109,0,0,0,0,0,0,0,0.00349557544789071,0,"bb3"
"25",0.00416403891449507,0.00404789490382152,0,0,0,0,0.986871949841038,0,0,0,0,0,0,0,0.00491611634064574,0,"bb3"
"26",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"bb3"
"27",0,0,0,0,0,0,0.99634356762597,0,0,0,0,0,0,0,0.0036564323740304,0,"bb3"
"28",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"bb3"
"29",0,0,0,0,0,0,0.988440778081637,0.00757939650637451,0,0.00397982541198869,0,0,0,0,0,0,"bb3"
"30",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"bb3"
"31",0.0285874274629705,0,0,0,0,0,0.948636894595817,0,0,0,0.00350055178507567,0.00405318258820306,0,0,0.0152219435679341,0,"bb3"
"32",0.0111284108185134,0,0,0,0,0,0.975737496052646,0,0,0,0.0131340931288405,0,0,0,0,0,"bb3"
"33",0.0527206683523842,0,0,0,0,0,0.932214254351022,0,0,0.00842453176061806,0.00664054553597623,0,0,0,0,0,"bb3"
"34",0.00494078186140333,0,0,0.00987495185099347,0,0,0.942904813331818,0,0,0,0.0261274630529858,0,0,0,0.00488947723593661,0.0112625126668629,"bb3"
"35",0.0363719357260776,0,0,0.0130580631814281,0,0,0.950570001092494,0,0,0,0,0,0,0,0,0,"bb3"
"36",0.0293696880241192,0,0,0.0127987074649376,0,0,0.957831604510943,0,0,0,0,0,0,0,0,0,"bb3"
"37",0.0406917402755273,0,0,0,0,0,0.935398477920574,0,0,0.00994132382536598,0.00918168330159228,0,0,0,0.00478677467694086,0,"bb3"
"38",0.0507622577265121,0,0,0.00939787903238058,0,0,0.935843658061966,0,0,0,0.00399620517914131,0,0,0,0,0,"bb3"
"39",0.0033389411824822,0,0,0,0,0,0.985041721234608,0,0,0,0.00481249278432211,0,0,0,0,0.0068068447985874,"bb3"
"40",0.00347145205194754,0,0,0.0177836876011171,0,0,0.954986116082559,0,0,0,0.0237587442643766,0,0,0,0,0,"bb3"
"41",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"bb3"
"42",0,0,0,0,0,0,0.971957133039377,0,0,0,0.0147496362057607,0,0,0,0,0.0132932307548626,"bb3"
"43",0.00323492189622877,0,0,0,0,0,0.892668679063547,0,0,0,0,0,0,0,0,0.104096399040224,"bb3"
"44",0.00983729028845462,0,0,0,0,0,0.951241273935756,0,0,0,0,0,0,0,0,0.0389214357757892,"bb3"
"45",0,0,0,0,0,0,0.935548733620892,0,0,0,0.0450491783992387,0,0,0,0,0.0194020879798696,"bb3"
"46",0,0,0,0,0,0,0.898960675963129,0,0,0,0.0202013642533202,0,0,0,0.00738752736365882,0.0734504324198922,"bb3"
"47",0,0,0,0,0,0,0.979179686474795,0,0,0,0.0208203135252049,0,0,0,0,0,"bb3"
"48",0,0,0,0,0,0,0.996356470485621,0,0,0,0.00364352951437884,0,0,0,0,0,"bb3"
"49",0,0,0,0,0,0,0.934537709574094,0,0,0,0.0425613957908612,0,0,0,0,0.0229008946350445,"bb3"
"50",0,0.00344431000725849,0,0,0,0,0.931141268485318,0,0,0,0.0249160788479511,0,0,0,0.0146859217864384,0.0258124208730339,"bb3"
"51",0,0,0,0,0,0,0.972259359738604,0,0,0,0,0,0,0,0,0.0277406402613961,"bb3"
"52",0,0,0,0,0,0,0.964588164092917,0,0,0,0.0215389244679595,0,0,0,0,0.0138729114391235,"bb3"
"53",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"bb3"
"54",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"bb3"
"55",0,0,0,0,0,0,0.927217508012436,0.00575489305967128,0,0.0670275989278929,0,0,0,0,0,0,"bb3"
"56",0,0,0,0,0,0,0.995560291754458,0.00443970824554235,0,0,0,0,0,0,0,0,"bb3"
