cell_marker,a1,a2,a3,a4,a1a2,a1a3,a1a4,a2a3,a2a4,a3a4,a1a2a3,a1a2a4,a1a3a4,a2a3a4,a1a2a3a4
Tumor;H3K27me3,-0.20097343950525484,0.22033663048513688,0.2706907088600219,-0.30258260718977337,0.1630165741700821,0.0432054200382385,-0.25950210676862906,0.23744681490156766,0.2094328070643739,0.17829927370447296,0.1769478638495964,0.156383936209631,-0.06458297377139613,0.23030732154239456,0.17144009227647233
Tumor;H3K9ac,-0.14537818393200658,0.3207357944828915,0.26861182023468594,-0.3186829685651941,0.28095075800405894,0.09228156189943783,-0.220673785103344,0.33661542011812123,0.30866978071282813,0.126468197907964,0.29620638898425056,0.27298541206230087,-0.01972890059929669,0.3296420583285148,0.2904829015293843
Tumor;HLA.DR,0.03572958853792725,0.3870339341435076,0.06911456086380365,-0.14213666820846993,0.3578829980099743,0.10392266977507586,-0.029942615722267814,0.37978400849710786,0.3873650457435881,1.6180289232014055e-4,0.3571400730375483,0.3562394283205159,0.10042350735056803,0.3851345762617602,0.35965772433396126
Tumor;HLA_Class_1,-0.2646883248639884,0.5809677947587073,0.15853762772096122,-0.2533063402823682,0.458572195323364,-0.1076048955018013,-0.2935966252360067,0.5786475973913281,0.5761032532591994,0.04198041058091588,0.46100821151017946,0.45461634962444775,-0.18287340065973354,0.5820118340693687,0.46127322369704976
Tumor;phospho.S6,-0.21072573040588427,0.31328700074949867,0.141792719725599,-0.1945799795464164,0.23279483431430345,-0.08813556036781726,-0.23768603096290453,0.3187822831673852,0.30481914993196335,0.06858766876025839,0.24093289487621863,0.22778784319731776,-0.14942551871408258,0.316792915992745,0.23853262029413683
CD4-T;Beta.catenin,-0.12124773283719423,-0.14271759911793205,0.31039470657670043,7.01949970179303e-4,-0.11868696136615899,0.17516592606211406,-0.06609415000397863,0.26004620436768167,-0.09641209901608205,0.26375558241744895,0.11377102715460363,-0.07248934624823916,0.1687876005048265,0.24458913515706518,0.125705642156634
CD4-T;HLA.DR,0.3488989691023134,0.06072281740407993,-0.1668811117608931,-0.23895946479522107,0.29560983913634403,-0.012964253945665744,0.030808246006558307,-0.11613284598086047,-0.09353974153238094,-0.1719255757072797,0.0279715207491685,0.08050754084206499,-0.07123405724102495,-0.12780559771251687,-0.017100057478262338
CD4-T;Keratin6,-0.21069726004116937,0.12948487206606077,0.32215641369215103,-0.17318603468984503,-0.10653787238024996,0.1679725880497084,-0.24613239640761123,0.3550881376610648,-0.15971290760050283,0.17536317304473403,0.16439621220110123,-0.20467683336409595,0.06048277618372684,0.2041342983796186,0.06469000984411502
CD4-T;PD.L1,-0.31907229342016846,-0.13793469662746177,0.1753626292193149,0.2395921919234633,-0.29938731852696254,-0.07788667470846085,-0.08860867379526773,0.1510923513630794,0.2405389417903159,0.21996892549737607,-0.09424831885382931,-0.06819028729907256,-0.005514973507618714,0.23359551296056957,-0.01364759585649449
Mesenchymal-like;CD45RO,0.028440888386883304,0.37951933278434785,-0.06648233261942459,-0.12451838794323904,0.27084225209040286,-0.05830173094380513,0.007835108674343227,0.3162587133969286,0.36807307113319426,-0.11342470150648336,0.25778867223626767,0.26660305479213314,-0.07051544256964518,0.3166947946762057,0.2578554180619137
Mesenchymal-like;HLA.DR,-0.03869588117788686,0.3562407111512315,-0.05004039876215797,-0.11711983600593437,0.22975256502284136,-0.09597692407178535,-0.05462116670312642,0.28429978260709243,0.34816002315385075,-0.07988814299111062,0.21015760792777788,0.22668154681874064,-0.10811832714970364,0.2849583056606134,0.2096165580125187
Mesenchymal-like;HLA_Class_1,-0.12841814096818674,0.5185153619193179,-0.04760878416148231,-0.1871267134547845,0.30068703346773223,-0.1565652380100598,-0.15387224320295087,0.4068165986923941,0.5084642420724429,-0.08862000142468915,0.2759514423162145,0.2961715139468064,-0.1741187591914545,0.40765609382947765,0.2751697971663095
Macrophages;Beta.catenin,0.050417489152531914,-0.09111799662917952,0.44742044631972555,-0.3834901934588838,0.05730899982299263,0.12692183220483885,0.03537614590682934,0.3738242423528,-0.23682503734288085,0.3741035806249322,0.11741515731508896,0.04799282094338719,0.1183108398235348,0.32428244268711526,0.1122197876866132
Macrophages;CD45RO,-0.09197597462236816,0.42305830775808717,-0.053991270727693504,-0.19380294177996876,-0.023405138878734154,-0.10484220767149909,-0.11517716320464498,0.26740408510874225,0.34455749218252507,-0.14001863198446218,-0.01853913076356642,-0.0350933320996795,-0.1224735155180976,0.2748027098241222,-0.024584485678354466
Macrophages;H3K27me3,-0.031346280097633676,0.354234494067709,0.03245258533581453,-0.2982146406307877,0.009899168561306085,-0.06354110489305023,-0.05689083243330291,0.22091782786134745,0.25245172644496117,-0.07758845315290118,-0.018348904226675174,-0.0025967076156968413,-0.08285636475939684,0.19097352944019744,-0.02723683676712919
Macrophages;H3K9ac,0.011302561959823421,0.3789758716623776,0.07677959677379731,-0.3602639609336161,0.05923844306123435,-0.03776543296310623,-0.01512950447117995,0.28622322835092245,0.25175170225570537,-0.0571803471027969,0.014018761766108046,0.0466773135023762,-0.05775310791780717,0.2487157110377953,0.005668002702831311
Macrophages;HLA_Class_1,-0.14173601951484682,0.495316811598995,0.019124906244814312,-0.32331364233112786,-0.04677067231889849,-0.19411067699113094,-0.1674517229391062,0.3731139741176485,0.3875879505229836,-0.10311239225006015,-0.08670892930434698,-0.05875705231503817,-0.2141911828197831,0.36573516344925994,-0.09326962592907799
Macrophages;IDO,-0.10063859118575477,0.3016525871648275,-0.022542441581555318,-0.12716569746059186,-0.06319219148937277,-0.11473694740112907,-0.10527466883158751,0.2074459598565613,0.2773989503353954,-0.05729604374966187,-0.0725057736001782,-0.06373142223748143,-0.11928496028866604,0.2360832525437277,-0.07317116911919387
Macrophages;Keratin6,0.013402531533188202,-0.017804941477487218,0.4640401465633574,-0.46450864115448853,0.03897224553565491,0.0925958638267698,-0.013824913138848682,0.41645448958898007,-0.1793509152044321,0.36670410392657826,0.09994604240288997,0.022772627382522816,0.07614172535962829,0.35143043394595075,0.08991573643184401
Macrophages;phospho.S6,-0.020752984546009143,0.3059124388044258,0.12529260358326696,-0.33634933032606573,0.01458771356983105,-0.03661129655524064,-0.043040852376975886,0.309359685494061,0.18648198290395993,0.012048445485220926,-8.502931659211902e-4,0.003952933760615849,-0.05264663571451906,0.28362068384587713,-0.007664502032254475
Endothelial;CD45RO,0.0907606141526645,0.4210111976784241,-0.08997857346092551,-0.24939057918050056,0.24467164972690345,-0.0038081414085708505,0.04743604965477471,0.2723294769930165,0.35692225599898525,-0.14728283097344558,0.20515292114420697,0.23204948220455904,-0.048483717254086386,0.24853150292679632,0.19669252360361456
Endothelial;HLA.DR,0.05904869748450238,0.4616079682531391,-0.13301187548232793,-0.2452430704965068,0.2198006839750162,-0.0485991285753507,0.004453716506211964,0.28182176344234633,0.39858753521127366,-0.19790261621374555,0.17921007565813477,0.2049879602489006,-0.09646048418386975,0.2534203036961455,0.1700535079951277
Endothelial;HLA_Class_1,-0.09148068144657705,0.5521240720675541,-0.1368504729021425,-0.2490836536008347,0.16306651642806752,-0.18823945430516512,-0.14153567923302293,0.33807219636273833,0.5208292941481891,-0.19963556011831018,0.12012613037327075,0.15260325924984375,-0.22975285478043356,0.32516804342958,0.11343549442469864
Tregs;Beta.catenin,-0.11020091775516437,-0.4717409821636666,0.6377057758568252,-0.27191658378465017,-0.17328346201820047,0.21430667160814396,-0.10427969997990386,0.2545158677676591,-0.5668062161527776,0.6326402374446616,0.08654200968541968,-0.17158976219095864,0.20668557552240963,0.18534732112204277,0.08244470858496346
Tregs;H3K27me3,-0.1233191080764328,0.0526935238219311,0.2944312275398743,-0.2901897536170078,-0.08760123010486881,0.027128741940847977,-0.14648208523375875,0.3609036941879026,-0.08314946739624166,0.19718886789214657,0.043519710782388706,-0.10672569585555647,0.00977063308697133,0.3238685266920666,0.04012758967267238
Tregs;H3K9ac,0.005616895267887267,0.10773505785771015,0.23657601818437143,-0.3004525007784736,0.02384528680262426,0.10951959102048457,-0.030639103179751017,0.3198761979265469,-0.052538679938181156,0.11846372877684165,0.11878373116893381,-0.004806621801447105,0.07641891104899463,0.2641462640521421,0.09923087051483863
Tregs;Keratin6,-0.06119029761230486,-0.16442428445234744,0.49167586959673315,-0.39427242399883305,-0.06760478140149037,0.18561419023071107,-0.12635481217092015,0.31035140176421866,-0.3772248005409847,0.3981133261552598,0.13388215060107075,-0.12387927215343503,0.1420580609885415,0.21397941207102855,0.0962702613731769
Tregs;p53,-0.1926958864930653,-0.10947174328137549,0.3511824269896247,-0.2565044714768434,-0.17959971333555647,-0.06907995364021685,-0.19697644085842408,0.3004115792824729,-0.19523392214223123,0.2695857639325393,-0.07424686568508672,-0.1772691492316238,-0.08115467752904021,0.25197690383469806,-0.07544369755433336
Tregs;phospho.S6,-0.04511125253180195,0.23450200543521832,0.1623342994466877,-0.2925097269849682,8.281540278855182e-5,0.06138179293838622,-0.07778606298313927,0.3868776997683913,0.08416512356839125,0.049882921131014966,0.10760821839102773,-0.02080966024230289,0.032952966842643705,0.36972029268458523,0.09742995996505938
DC;CD45RO,-0.005456984547732957,0.5142008095070487,0.17032373771341786,-0.4634353921413969,0.48053718848276894,0.15879915527672003,-0.2806095502193066,0.4810135368034429,0.42068818143853043,-0.006280497595325108,0.46420768595212997,0.4134336298107463,-0.09921009898624547,0.43023383135168863,0.42242952737904776
DC;HLA_Class_1,-0.05200253318676735,0.5988013707385111,0.09866298845145684,-0.5667769633890353,0.47390786015045505,0.07545502891096544,-0.374065076326624,0.46350346430982786,0.4993087441664308,-0.09582252472010469,0.40521320694171825,0.39536593551267063,-0.18644918705532554,0.405670148589657,0.3567959028079883
DC;Keratin6,-0.06857580199412669,0.5572618805723573,0.2340574057111136,-0.5392698724280605,0.46971136685049764,0.1756206673690359,-0.4365889054391161,0.5109815642810585,0.3379730856317986,-0.033197329035937334,0.47038876807863267,0.3093793065577746,-0.15657117979222474,0.3966104078782207,0.3688249836643279
Mono / Neu;Beta.catenin,0.014698489978710481,-0.04054690462172179,0.46780937221970137,-0.48352720316474734,0.03496960871941337,0.15880894478298338,-0.02529156764562053,0.39301759591516455,-0.18234656445672073,0.36878456283100747,0.14780858645518385,0.010453254114153859,0.12518507595706113,0.3175869518742634,0.12597921339234422
Mono / Neu;CD45RO,-0.04607069116612125,0.3239402756029425,-0.12733270416375472,0.015985010950296814,0.05039180904720196,-0.09710908228523768,-0.04530312081924676,0.16830885916846866,0.3074227294682335,-0.16986197410660792,0.01385425149214815,0.05279242535589839,-0.09245531509904491,0.20571804175973513,0.021011710764575694
Mono / Neu;H3K27me3,-0.17710641614783637,0.32133892118894886,0.0960239623755803,-0.25601826820082463,-0.0801737563164945,-0.12595280218465152,-0.2091590226795922,0.2638155699537605,0.2322094930563953,-0.0154082834247019,-0.057316220910609464,-0.09962830363765211,-0.15816321776823564,0.23324010434974116,-0.07459537359930828
Mono / Neu;H3K9ac,-0.16417007817721826,0.3494160336923349,0.08610041788276927,-0.2598140327828161,-0.07371867014664714,-0.11730900763909463,-0.2006937538889108,0.27074039628459745,0.2475966078874177,-0.04556819296550276,-0.054240212829159765,-0.09655824933529839,-0.15016621090213722,0.23491138774461787,-0.07285923350166897
Mono / Neu;HLA_Class_1,-0.16713013258709655,0.37070849971819286,0.036167203758202406,-0.17578708961472814,-0.013741967419705507,-0.15756993703940791,-0.18427659506346905,0.3376794449797476,0.30935409150504256,-0.040985396164846886,-0.005832079426174468,-0.026699383623273832,-0.1760867474345735,0.34373056518170875,-0.0132811481465593
