"","EndothelialCells","EpithelialCells","Fibroblasts","Other","NK","BCells","PlasmaCells","DC","CD4-T","CD8-T","Macrophages","OtherImmune"
"T_BB007",4.90693740079706,39.0862944124404,4.90693740079706,3.04568529186529,2.88225482575476,1.08705733283624,0.248470254370305,0.211199699395808,19.2293428791147,10.379150467754,2.03103394542277,11.9856360894516
"T_BB011",0.395256963241107,38.2081686617918,0.527009244927536,2.10803686152833,2.8458915041625,0.689272374020467,13.4090965801235,0.558183748590432,17.8146931724859,9.05266798107429,6.50165612963246,7.89006887609311
"T_BB013",0.461183678603699,86.0876249237026,1.69100689333783,0.461183678603699,0.508277145689848,0.350711223294635,0.182979770640505,0.0355794011022095,3.39437113584353,1.72019826454917,2.48225275601884,2.62463114328234
"T_BB022",3.2241556206192,62.4872057138738,12.384851590908,4.09416580419809,0.37211048680329,0.186055243401645,0.382446888225069,0.0723548099524536,5.4619241948641,4.61275749721836,3.21330397099093,3.50866817894505
"T_BB026",1.70157075229623,17.6701571160357,1.65794061125422,49.9127399404945,0.609850678152661,0.582945498611432,0.0448419659020473,0.0627787522628663,6.97123200606629,4.74079895941619,0.836976156760594,15.2081675715901
"T_BB028",0.950912177272112,14.8748752307453,5.79151085528037,20.0700067585135,1.35885711568964,7.26693160525627,1.41793784717339,0.413565237011615,24.3919870095452,16.0426516444015,2.71771426512214,4.70305025398889
"T_BB030a",1.11111114106996,76.79012343016,0.864197496552355,17.40740742738,0.188438556221139,0.143319464486396,0.015924386218653,0.0185784493127084,1.01846749038649,1.24727389149418,0.319593555915364,0.875564711020376
"T_BB034",1.04810239170508,88.6253309889886,2.3830538590347,0.871579883628433,0.214090589971959,0.594824658852841,0.571679728869291,0.120353626013756,2.1342115532113,1.0664664098464,1.47558909166609,0.894717211139605
"T_BB035",1.65289255897511,21.4876032666764,4.05709998366836,36.8144252654182,0.782507102931979,0.440849071060609,0.154297164074819,0.0808223428900372,13.7491607752895,10.2079938557793,5.2665372189986,5.3058114085573
"T_BB037",2.88814429499212,73.2567416041473,3.76575711202588,1.85096538976187,0.622198461618737,2.26863129089373,0.0989136005618387,0.271214713571286,5.20694991972051,1.58115083648951,1.64909961647463,6.54023317273542
"T_BB046a",1.04640584166663,61.692447720752,1.13739760071965,1.81983618342624,1.34316129548667,1.45686806311206,1.09442770700221,0.156346805484912,13.7220137541149,8.97125346012188,3.36038420712408,4.19945737500663
"T_BB046b",0.469392979962721,57.3645452606715,1.43168143120302,17.7713444087954,0.97957991965393,1.0937640750237,0.757221288007879,0.0661066307696803,9.95851074803467,5.90717993861622,1.63793966616228,2.56273367871825
"T_BB047",2.23801067534044,58.1527531744545,3.6234457837678,22.8419182773503,0.642794992047895,0.503951276499475,0.0257118059909744,0.0102847250251642,1.28867840508388,1.8260625224114,4.50847648033868,4.33791188993789
"T_BB051",0.949554861132222,83.2245301590874,2.59149355362044,0.395647858805093,0.344598986385625,0.421395330162247,0.0452901475076159,0.242203861350129,4.32328866818625,1.80940742876263,3.5012884550298,2.15130068525642
