x,y,cell_type,label,size_x,size_y
324.56097,53.493904,Cancer,140,496,477
289.3772,54.254387,Macrophages,154,496,477
270.39999,53.200001,Cancer,155,496,477
225.14954,56.177569999999996,Fibroblasts,160,496,477
199.12263000000002,59.64151,Fibroblasts,165,496,477
280.51428,60.714287,Cancer,167,496,477
254.10185,63.59259399999999,Cancer,171,496,477
265.0,60.702129000000006,Cancer,172,496,477
314.49057,61.264153,Cancer,175,496,477
332.25,62.727272,Cancer,176,496,477
242.28947000000002,62.385963000000004,Fibroblasts,180,496,477
214.41176000000002,64.117645,Fibroblasts,182,496,477
171.79166999999998,65.333336,Vascular SMA+,185,496,477
323.30588,67.588234,Cancer,186,496,477
292.71716000000004,65.313133,Macrophages,187,496,477
339.32727,65.818184,Cancer,188,496,477
274.87302,68.079369,Cancer,192,496,477
305.82114,69.235771,Cancer,194,496,477
263.0,71.117645,Cancer,195,496,477
224.54167,71.666664,Fibroblasts,198,496,477
184.38235,71.35294300000001,Fibroblasts,200,496,477
160.9646,71.451324,Cancer,203,496,477
331.65216000000004,70.695656,Cancer,204,496,477
343.03705,72.25926199999999,Cancer,205,496,477
350.92682,72.487808,Cancer,206,496,477
315.62903,74.241936,Cancer,209,496,477
257.0,74.717949,Cancer,216,496,477
333.6875,77.479164,Cancer,217,496,477
358.86273,77.07843000000001,Fibroblasts,218,496,477
236.15218,77.217392,Fibroblasts,219,496,477
247.25374,76.791046,Cancer,220,496,477
269.25372000000004,77.8806,Cancer,221,496,477
295.18054,77.125,Cancer,224,496,477
386.1579,79.842102,Cancer,225,496,477
148.68965,79.67241700000001,Cancer,226,496,477
257.62857,82.057144,Cancer,227,496,477
156.91429,81.428574,Cancer,229,496,477
225.60715,81.741074,Cancer,230,496,477
306.1087,81.54348,Cancer,231,496,477
322.8493,82.91780899999999,Cancer,235,496,477
346.89395,81.78788,Macrophages,236,496,477
139.7742,81.43010699999999,Cancer,239,496,477
394.27657999999997,85.36170200000001,Cancer,240,496,477
289.25,85.75,Cancer,242,496,477
240.66197000000003,86.126762,Fibroblasts,243,496,477
338.991,90.648651,Fibroblasts,245,496,477
214.80531000000002,89.221237,Cancer,247,496,477
384.12372,89.680412,Cancer,248,496,477
133.55933000000002,90.90677600000001,Cancer,251,496,477
150.74358999999998,90.487183,Cancer,252,496,477
366.79999,91.466667,Fibroblasts,253,496,477
306.60281000000003,93.04673000000001,Cancer,257,496,477
407.62903,92.80645,Cancer,258,496,477
120.89352,93.287041,Cancer,260,496,477
291.29999,95.050003,Cancer,262,496,477
392.04477,95.671638,Fibroblasts,263,496,477
421.07602,98.005852,Cancer,265,496,477
441.10959,96.260277,Cancer,266,496,477
401.4516,95.64516400000001,Fibroblasts,268,496,477
173.06976,98.11628,Fibroblasts,270,496,477
222.93024,96.139534,Cancer,271,496,477
347.19049,97.619049,Macrophages,272,496,477
212.62135,100.35922,Cancer,274,496,477
137.91666999999998,99.638885,Cancer,275,496,477
318.875,100.725,Cancer,276,496,477
231.5,100.16666,Cancer,278,496,477
256.28302,102.01886999999999,Fibroblasts,279,496,477
401.94736,102.94736,Cancer,280,496,477
445.84615999999994,103.05769000000001,Cancer,282,496,477
453.19513,102.51219,Cancer,283,496,477
395.2439,103.2439,Fibroblasts,284,496,477
332.25583,101.35659,Cancer,285,496,477
225.65517000000003,103.55173,Cancer,287,496,477
116.85106999999999,104.31915,Fibroblasts,289,496,477
158.875,103.33334,Fibroblasts,290,496,477
166.66942,105.04132,Macrophages,291,496,477
188.5119,102.95238,Macrophages,292,496,477
270.92856,105.14286000000001,Macrophages,293,496,477
138.93333,106.98333000000001,Cancer,295,496,477
241.67949,106.8141,Cancer,296,496,477
231.61111,107.66666000000001,Cancer,297,496,477
415.38889,106.94443999999999,Cancer,300,496,477
343.86667,107.1,Fibroblasts,302,496,477
178.0,110.19492,Fibroblasts,304,496,477
307.95999,110.76,Fibroblasts,305,496,477
95.609528,110.22381000000001,Cancer,306,496,477
189.10345,111.4138,Fibroblasts,307,496,477
336.32144,112.53571000000001,Cancer,308,496,477
406.96857,111.71068999999999,Cancer,309,496,477
423.85507,110.27536,Cancer,310,496,477
222.93637,112.36363999999999,Cancer,312,496,477
118.09523999999999,112.2381,Fibroblasts,313,496,477
280.51065,114.40426000000001,Cancer,314,496,477
290.02151000000003,114.55913999999999,Macrophages,315,496,477
298.5946,114.27027,Macrophages,316,496,477
124.30611999999999,115.5102,Fibroblasts,317,496,477
317.11765,114.1647,Cancer,318,496,477
327.58511,115.53191000000001,Cancer,320,496,477
374.20968999999997,114.79032,Fibroblasts,321,496,477
385.37289,115.86441,Fibroblasts,324,496,477
235.18462000000002,117.12308,Cancer,327,496,477
416.44318,119.13636000000001,Cancer,330,496,477
446.07232999999997,117.98723999999999,Cancer,331,496,477
255.27536,118.27536,Fibroblasts,332,496,477
162.98709,118.27096999999999,Cancer,335,496,477
88.724136,120.37931,Cancer,337,496,477
378.79413,120.41176999999999,Fibroblasts,338,496,477
117.58333999999999,120.41666000000001,Fibroblasts,340,496,477
465.77216,121.41771999999999,Cancer,343,496,477
218.53271,121.00935,Cancer,344,496,477
276.11966,121.11966000000001,Cancer,345,496,477
428.4881,122.25595,Cancer,346,496,477
133.3945,122.77982,Cancer,347,496,477
99.509438,123.07547,Cancer,348,496,477
191.41666999999998,122.75,Fibroblasts,349,496,477
456.58035,122.0,Cancer,350,496,477
297.5,123.86111000000001,Fibroblasts,352,496,477
348.03278,123.0164,Fibroblasts,353,496,477
315.55554,124.7963,Macrophages,354,496,477
323.7966,125.40678,Fibroblasts,355,496,477
267.41489,127.23404,Cancer,356,496,477
233.30337999999998,126.38202,Cancer,357,496,477
250.72413999999998,127.5862,Cancer,358,496,477
339.35294,125.47058999999999,Fibroblasts,359,496,477
437.92682,127.36585,Cancer,360,496,477
191.04346999999999,128.0,Fibroblasts,362,496,477
108.65823,127.05063999999999,Macrophages,363,496,477
214.50287999999998,134.2659,Cancer,364,496,477
94.63157700000001,128.6842,Fibroblasts,366,496,477
363.29413,128.76471,Fibroblasts,367,496,477
397.78125,129.125,Fibroblasts,368,496,477
197.30612,130.59184,Fibroblasts,370,496,477
120.10345,130.27586000000002,Fibroblasts,371,496,477
380.63416,130.5061,Cancer,373,496,477
341.36922999999996,132.36923000000002,Fibroblasts,375,496,477
350.96722,133.27868999999998,Cancer,377,496,477
225.71427999999997,134.10477,Cancer,379,496,477
463.75342,132.86301,Fibroblasts,380,496,477
112.97872,134.57446000000002,Fibroblasts,382,496,477
424.83870999999994,135.62903,Fibroblasts,383,496,477
164.39999,135.60001,Macrophages,384,496,477
136.83333000000002,136.16666999999998,Macrophages,387,496,477
289.48148,138.90741,Cancer,388,496,477
203.2439,135.97562,Fibroblasts,389,496,477
386.94736,138.3421,Fibroblasts,390,496,477
331.10526,138.1228,Macrophages,391,496,477
256.54697000000004,137.32596999999998,Cancer,393,496,477
82.349998,140.7,Cancer,395,496,477
240.2924,139.75438,Cancer,396,496,477
273.77367999999996,138.73158,Cancer,398,496,477
211.02174,145.71739,Cancer,400,496,477
152.95,142.2,Fibroblasts,402,496,477
203.95744,144.02127,Fibroblasts,403,496,477
346.26547,144.9115,Fibroblasts,405,496,477
417.41443,144.78378,Fibroblasts,406,496,477
171.52483,141.92908,Macrophages,408,496,477
322.96774,146.6129,Fibroblasts,409,496,477
455.29413,145.28758,Fibroblasts,410,496,477
163.0,146.60001,Fibroblasts,411,496,477
147.64865,146.43243,Fibroblasts,413,496,477
181.88523999999998,148.2459,Cancer,415,496,477
246.35294,148.37254,Cancer,416,496,477
227.76147000000003,149.54129,Cancer,417,496,477
256.0,149.0,Cancer,418,496,477
278.25226000000004,150.37837,Cancer,419,496,477
330.15152,149.12122,Macrophages,420,496,477
149.89473,153.71053,Fibroblasts,422,496,477
158.7377,152.77049,Fibroblasts,423,496,477
288.28571,151.63492,Cancer,424,496,477
259.07693,154.53847,Cancer,427,496,477
359.03076,153.23077,Fibroblasts,428,496,477
140.76923,154.41759,Fibroblasts,429,496,477
