x,y,cell_type,label,size_x,size_y
246.03703,5.9629631,Fibroblasts,1,292,311
75.80851,6.361701999999999,Fibroblasts,2,292,311
144.05263,6.7894735,Fibroblasts,3,292,311
223.04167,7.4305553,Fibroblasts,4,292,311
123.83333999999999,8.5,Fibroblasts,5,292,311
207.36986000000002,7.2465754,Fibroblasts,6,292,311
157.77777,9.8888893,Fibroblasts,7,292,311
100.63816,9.381579400000001,Fibroblasts,8,292,311
233.13889,11.013889,Fibroblasts,9,292,311
288.48935,11.234042,Fibroblasts,10,292,311
83.471588,12.732955,Fibroblasts,11,292,311
65.25309,14.191358,Fibroblasts,12,292,311
243.70796,14.230088,Fibroblasts,13,292,311
202.95453999999998,14.636364000000002,Fibroblasts,14,292,311
175.52083000000002,13.302082999999998,Fibroblasts,15,292,311
118.89535,15.186047,Fibroblasts,16,292,311
261.60213999999996,14.924731,Fibroblasts,17,292,311
152.66666999999998,16.309525,Fibroblasts,18,292,311
184.77777,16.888889000000002,Fibroblasts,19,292,311
226.80435,18.847826,Fibroblasts,20,292,311
252.8421,20.342106,Fibroblasts,21,292,311
143.47826,22.478260000000002,Fibroblasts,22,292,311
32.875,22.575001,Cancer,23,292,311
149.76315,25.842106,Fibroblasts,24,292,311
233.0,23.482758999999998,Fibroblasts,25,292,311
247.11765,23.411764,Fibroblasts,26,292,311
194.49206999999998,23.468254,Fibroblasts,27,292,311
175.40678,24.542374,Fibroblasts,28,292,311
260.3125,26.112499,Fibroblasts,29,292,311
27.333334000000004,27.555555,Fibroblasts,30,292,311
161.47525,27.138615,Fibroblasts,31,292,311
100.0,29.0,Vascular SMA+,32,292,311
218.45313,28.054688,Fibroblasts,33,292,311
55.28915799999999,28.433735,Fibroblasts,34,292,311
153.11111,30.805555,T cells,35,292,311
168.86487,31.027027,Fibroblasts,36,292,311
276.27133,28.519381,Fibroblasts,37,292,311
267.8125,30.125,Fibroblasts,38,292,311
290.11606,29.517857,Fibroblasts,39,292,311
48.924999,32.5,Fibroblasts,40,292,311
184.75757,30.818182,Cancer,41,292,311
139.21428,32.214287,Fibroblasts,42,292,311
124.38636000000001,32.761364,Fibroblasts,43,292,311
189.88461,33.73077,Cancer,44,292,311
282.32431,34.37838,Fibroblasts,45,292,311
176.0119,39.041668,Cancer,46,292,311
144.97368,36.157894,Fibroblasts,47,292,311
196.11194,39.402985,Cancer,48,292,311
17.433962,38.622643,Cancer,49,292,311
223.3063,38.729729,Fibroblasts,50,292,311
34.155174,42.086208,Fibroblasts,51,292,311
113.0,41.0,Fibroblasts,52,292,311
292.26315,42.447369,Fibroblasts,53,292,311
284.85715,43.625,Fibroblasts,54,292,311
230.1842,43.86842,Fibroblasts,55,292,311
45.347221000000005,44.333332,Fibroblasts,56,292,311
130.74783,42.460869,Fibroblasts,57,292,311
147.65433000000002,42.962963,Fibroblasts,58,292,311
259.28571,43.5,Cancer,59,292,311
275.44446,44.0,Fibroblasts,60,292,311
158.59836,44.401638,T cells,61,292,311
73.414063,44.804688,Fibroblasts,62,292,311
137.13235,48.867645,Fibroblasts,63,292,311
245.53703,46.305557,Fibroblasts,64,292,311
19.725,46.25,Fibroblasts,65,292,311
264.80234,49.279068,Fibroblasts,66,292,311
184.28986,48.507248,Cancer,67,292,311
119.62222,49.288887,Fibroblasts,68,292,311
193.53847,50.076923,Cancer,69,292,311
253.14865,50.608109000000006,Fibroblasts,70,292,311
16.311111,52.288887,Fibroblasts,71,292,311
64.288292,53.900902,Fibroblasts,72,292,311
75.913795,55.344826,Fibroblasts,73,292,311
207.9077,54.438461,Fibroblasts,75,292,311
94.739723,57.821918000000004,Fibroblasts,76,292,311
45.304123,56.865978000000005,Cancer,77,292,311
174.67857,59.61606999999999,Cancer,78,292,311
25.493828,59.864197,Fibroblasts,79,292,311
103.21519,58.443039,Fibroblasts,80,292,311
270.3793,59.17931,Fibroblasts,81,292,311
194.18056,59.875,Cancer,82,292,311
219.85715,60.076923,Fibroblasts,83,292,311
163.78261,62.942028,Cancer,84,292,311
210.60001,64.033333,Fibroblasts,85,292,311
237.50705,64.366196,Cancer,86,292,311
182.94400000000002,63.223999,Cancer,87,292,311
200.93103,64.448273,Cancer,88,292,311
112.81481000000001,65.185188,Fibroblasts,89,292,311
194.17857,68.35714,Cancer,90,292,311
120.16278999999999,67.465118,Fibroblasts,91,292,311
144.4375,67.599998,Fibroblasts,92,292,311
287.17075,68.463417,Cancer,93,292,311
107.09231000000001,71.630768,Fibroblasts,94,292,311
277.98215,68.839287,Fibroblasts,95,292,311
202.1077,72.092308,Cancer,96,292,311
241.74192999999997,71.19355,Cancer,97,292,311
269.27274,70.63636,Cancer,98,292,311
96.801804,71.711708,Fibroblasts,99,292,311
228.03278999999998,71.40164200000001,T cells,100,292,311
215.40311,72.806198,Cancer,101,292,311
128.92308,73.615387,Fibroblasts,102,292,311
67.954544,73.32467700000001,Fibroblasts,103,292,311
258.83333999999996,74.145836,T cells,104,292,311
164.91765,75.988235,Cancer,105,292,311
250.27272000000002,77.465912,Fibroblasts,107,292,311
285.04001,78.08000200000001,Fibroblasts,108,292,311
110.02941000000001,78.323532,Fibroblasts,109,292,311
238.96471,78.247055,Cancer,110,292,311
175.53847,79.596153,Fibroblasts,111,292,311
270.84682999999995,80.270271,Fibroblasts,112,292,311
183.85001,80.650002,Cancer,113,292,311
205.80768999999998,79.769234,Fibroblasts,114,292,311
75.095238,81.0,Fibroblasts,115,292,311
132.79366000000002,82.111115,Vascular SMA+,116,292,311
48.486111,82.166664,Fibroblasts,117,292,311
194.125,83.583336,Cancer,118,292,311
153.82098,85.129631,Fibroblasts,119,292,311
37.615383,85.0,Fibroblasts,120,292,311
218.20588999999998,86.139709,Fibroblasts,121,292,311
110.4,85.166664,Fibroblasts,122,292,311
69.315788,88.11842299999999,Fibroblasts,123,292,311
44.882355,89.985291,Fibroblasts,124,292,311
250.81817999999998,86.659088,Fibroblasts,125,292,311
281.28235,88.470589,Fibroblasts,126,292,311
115.67593000000001,91.861115,Fibroblasts,128,292,311
135.86487,88.5,Fibroblasts,129,292,311
289.7077,90.307693,Fibroblasts,130,292,311
189.47693,90.95385,Cancer,131,292,311
211.73685,91.789474,Macrophages,132,292,311
104.93104,92.965515,Fibroblasts,133,292,311
252.60001,94.22222099999999,Fibroblasts,134,292,311
262.20493,92.827866,Fibroblasts,135,292,311
143.33333000000002,91.966667,Fibroblasts,136,292,311
166.6044,93.1978,Cancer,137,292,311
38.628571,94.914284,Fibroblasts,139,292,311
27.897058,94.948532,Fibroblasts,140,292,311
150.66666999999998,93.925926,Fibroblasts,141,292,311
84.375,96.425003,Fibroblasts,142,292,311
184.41176000000002,95.70587900000001,Cancer,143,292,311
176.72728,96.333336,Cancer,144,292,311
196.42105,98.315788,Cancer,145,292,311
68.767441,99.27906800000001,Fibroblasts,146,292,311
128.8,98.533333,Cancer,147,292,311
134.14333,106.60911999999999,Cancer,148,292,311
186.66666999999998,101.66666,Cancer,150,292,311
205.19737,101.17105,Cancer,151,292,311
100.82021999999999,102.85394000000001,Fibroblasts,152,292,311
55.802197,101.3022,Fibroblasts,153,292,311
167.96552,102.48276,Cancer,154,292,311
217.1875,103.375,Fibroblasts,155,292,311
266.58333999999996,101.36111,Fibroblasts,156,292,311
192.8806,104.64179,Cancer,157,292,311
181.95238,106.22222,Fibroblasts,159,292,311
257.44186,105.69768,Fibroblasts,160,292,311
269.92981000000003,107.91228000000001,Fibroblasts,161,292,311
158.8129,109.50967,Fibroblasts,162,292,311
7.119999900000001,110.64,Fibroblasts,163,292,311
286.9375,104.75694,T cells,164,292,311
177.76923,111.23076999999999,Fibroblasts,165,292,311
170.10527,111.76316000000001,Cancer,166,292,311
100.66154,112.7077,Fibroblasts,167,292,311
27.366667,113.33333999999999,Fibroblasts,168,292,311
279.76923,114.68132,Fibroblasts,169,292,311
222.17999,115.38,Fibroblasts,170,292,311
250.27367999999998,117.13683999999999,Cancer,171,292,311
45.80402,115.73868999999999,Cancer,172,292,311
117.80899,117.0,Fibroblasts,173,292,311
262.73438,117.25,Cancer,174,292,311
271.56757000000005,118.08108,Fibroblasts,175,292,311
178.94318,118.14773000000001,Fibroblasts,176,292,311
203.76271,120.50848,Fibroblasts,177,292,311
153.99083000000002,122.22018,Cancer,178,292,311
12.64045,123.45506,Fibroblasts,179,292,311
127.76923000000001,121.46153999999999,Cancer,180,292,311
237.03737999999998,122.81308999999999,Cancer,181,292,311
167.6842,125.76973999999998,Cancer,182,292,311
121.86363999999999,127.43182,Cancer,183,292,311
271.02083999999996,125.9375,Cancer,184,292,311
202.94444,127.88888999999999,Fibroblasts,185,292,311
57.031055,128.34781999999998,Fibroblasts,186,292,311
97.453331,129.2,Fibroblasts,187,292,311
259.52022999999997,131.65318,Cancer,188,292,311
39.959998999999996,128.99333000000001,Fibroblasts,189,292,311
182.28667,130.11333,Cancer,190,292,311
244.32631,131.11578,Cancer,191,292,311
112.27273000000001,130.43636999999998,Fibroblasts,192,292,311
214.72,132.08,Fibroblasts,193,292,311
229.01819,132.93636999999998,Fibroblasts,194,292,311
208.28572,133.71428,Fibroblasts,195,292,311
151.86449,134.91589,Cancer,196,292,311
272.33083999999997,135.66165,Cancer,197,292,311
131.08122,137.5939,Cancer,198,292,311
103.78889000000001,138.44444,T cells,199,292,311
34.641220000000004,138.32062,Cancer,200,292,311
76.599998,142.67693,Fibroblasts,201,292,311
180.67442,139.7907,Fibroblasts,202,292,311
116.61403999999999,139.92982,Cancer,203,292,311
246.6084,141.74126,Cancer,204,292,311
5.1803279,140.7377,Fibroblasts,205,292,311
280.60001,142.325,Cancer,206,292,311
56.474747,144.23738,Fibroblasts,207,292,311
121.11111000000001,144.7037,Cancer,208,292,311
25.106667,143.86667,Cancer,209,292,311
109.73528999999999,147.73529,Cancer,211,292,311
4.2857141,146.71428,Fibroblasts,212,292,311
103.09524,149.0,Cancer,213,292,311
270.43225,151.0258,Cancer,214,292,311
32.76852,151.99074,Fibroblasts,215,292,311
8.6973686,154.35527,T cells,216,292,311
128.26512,153.47906,Cancer,217,292,311
279.37036,155.03703000000002,Cancer,218,292,311
17.738462,155.37691999999998,Fibroblasts,219,292,311
187.84058000000002,155.8116,Fibroblasts,220,292,311
241.01176,156.48824,Fibroblasts,221,292,311
146.29518000000002,157.52409,T cells,222,292,311
125.66666000000001,161.8,Cancer,223,292,311
101.28655,160.55556,Cancer,224,292,311
253.18367,160.04082,Cancer,225,292,311
229.24192999999997,160.06451,Fibroblasts,226,292,311
27.89855,162.36231999999998,Fibroblasts,227,292,311
171.92857,162.60715,Fibroblasts,228,292,311
118.30434,162.28261,Cancer,229,292,311
286.3743,165.69273,Fibroblasts,230,292,311
275.1579,164.10527,T cells,231,292,311
20.916666,165.25,Fibroblasts,232,292,311
137.43333,164.39999,Fibroblasts,233,292,311
165.45238,165.2381,Fibroblasts,234,292,311
262.7619,161.79048,Cancer,235,292,311
191.81081,164.21622,Macrophages,236,292,311
233.44,166.52,Fibroblasts,237,292,311
254.2973,168.27026,Fibroblasts,238,292,311
145.27451000000002,168.84313999999998,Cancer,239,292,311
240.04167,168.45833000000002,Fibroblasts,240,292,311
223.68182000000002,168.27272,Fibroblasts,241,292,311
130.57333,170.39999,Cancer,242,292,311
122.45946,169.08109,Fibroblasts,243,292,311
262.60785,172.27451000000002,Cancer,244,292,311
32.0,171.79546000000002,Fibroblasts,245,292,311
154.36487,171.77026,Cancer,246,292,311
245.51785,172.08928,Fibroblasts,247,292,311
138.88235,174.64706,Fibroblasts,248,292,311
78.571426,173.0238,Fibroblasts,249,292,311
122.09523999999999,175.57143,Fibroblasts,250,292,311
170.78125,174.64583000000002,Fibroblasts,251,292,311
182.51656,173.351,Fibroblasts,252,292,311
208.75,174.625,Fibroblasts,253,292,311
225.29204,177.16814,Fibroblasts,254,292,311
88.210144,174.57246,Cancer,255,292,311
160.98305,177.69492,T cells,256,292,311
198.97403,176.61038,Fibroblasts,257,292,311
67.239021,181.58536999999998,Fibroblasts,258,292,311
110.35593,177.73305,Cancer,259,292,311
280.15967,177.41176000000002,Cancer,261,292,311
267.43478,180.21739,Fibroblasts,262,292,311
36.039215000000006,179.72548999999998,Fibroblasts,263,292,311
128.57813000000002,181.51563000000002,Fibroblasts,264,292,311
250.65601,180.99200000000002,Fibroblasts,265,292,311
