x,y,cell_type,label,size_x,size_y
112.06363999999999,3.6363637000000004,Fibroblasts,1,178,101
39.0,4.0,Macrophages,2,178,101
88.050003,9.3500004,Fibroblasts,3,178,101
101.34375,9.6953125,Fibroblasts,4,178,101
118.67742,11.806452,Fibroblasts,5,178,101
167.11392,11.873418,Cancer,6,178,101
19.4,12.3,Fibroblasts,7,178,101
100.28205,18.564102,Fibroblasts,8,178,101
150.12941,17.811764,T cells,9,178,101
85.348839,17.069767000000002,Fibroblasts,10,178,101
78.948715,20.435898,Fibroblasts,11,178,101
42.142857,22.333334,Fibroblasts,12,178,101
32.171428999999996,24.271429,Fibroblasts,13,178,101
90.841728,26.08633,Fibroblasts,14,178,101
126.66666000000001,24.407408,Fibroblasts,15,178,101
75.038963,26.402596999999997,Fibroblasts,16,178,101
132.35001,27.325001,Fibroblasts,17,178,101
9.342857400000002,27.478571000000002,Fibroblasts,18,178,101
152.14423,28.26923,B cells,19,178,101
64.192307,30.610577000000003,T cells,20,178,101
163.59421,30.956521999999996,T cells,21,178,101
38.278690000000005,35.057377,Fibroblasts,22,178,101
137.89552,33.895523,Fibroblasts,23,178,101
156.17778,36.022221,T cells,24,178,101
148.2381,38.666668,Fibroblasts,25,178,101
17.59091,36.53788,Cancer,26,178,101
6.0117645,43.458824,Cancer,27,178,101
24.392157,45.215687,Cancer,28,178,101
174.98387,41.145161,T cells,29,178,101
95.260002,45.639998999999996,Fibroblasts,30,178,101
159.92592,45.123455,Fibroblasts,31,178,101
125.24242,44.777778999999995,Cancer,32,178,101
104.21678,47.174824,Fibroblasts,33,178,101
114.89844,47.453125,Fibroblasts,34,178,101
169.11111,49.388889,T cells,35,178,101
150.87778,49.055557,Fibroblasts,36,178,101
13.015873,50.920635,Fibroblasts,37,178,101
140.22807,48.877193,Fibroblasts,38,178,101
131.72223,50.944443,Fibroblasts,39,178,101
61.591999,53.279999,Cancer,40,178,101
77.740387,52.471153,Fibroblasts,41,178,101
88.29310600000001,54.620689,Fibroblasts,42,178,101
17.595238000000002,59.14285699999999,T cells,43,178,101
29.368422,59.622806999999995,Fibroblasts,44,178,101
39.756302000000005,61.630253,Fibroblasts,45,178,101
69.480766,63.18269300000001,Fibroblasts,46,178,101
59.714287,64.814285,T cells,47,178,101
10.491072,65.64286,Fibroblasts,48,178,101
83.074867,66.240639,Fibroblasts,49,178,101
23.670214,69.755318,Fibroblasts,50,178,101
47.645161,69.36774399999999,Fibroblasts,51,178,101
10.343136999999999,79.068626,B cells,52,178,101
23.830601,81.49180600000001,Fibroblasts,53,178,101
158.67857,85.285713,Fibroblasts,54,178,101
109.65278,90.34722099999999,Fibroblasts,55,178,101
166.77518999999998,91.18604300000001,T cells,56,178,101
149.47728,91.13636,B cells,57,178,101
156.42105,94.736839,Fibroblasts,58,178,101
178.52438,94.5,Cancer,59,178,101
141.30138,92.287674,B cells,60,178,101
37.0,95.0,Fibroblasts,61,178,101
131.81215,95.502762,Fibroblasts,62,178,101
9.5826082,97.060867,Fibroblasts,63,178,101
148.96202,101.87342,B cells,64,178,101
174.19672,101.2459,Fibroblasts,65,178,101
98.0,101.0,Cancer,66,178,101
116.64341,100.13953000000001,Fibroblasts,67,178,101
