x,y,cell_type,label,size_x,size_y
182.49153,4.5254235000000005,Fibroblasts,1,481,494
189.67647,3.4117646,Fibroblasts,2,481,494
305.0,5.8000002,Fibroblasts,3,481,494
112.46667,7.25,Fibroblasts,4,481,494
51.607594,9.1645565,Fibroblasts,5,481,494
65.47674599999999,7.7558141,Fibroblasts,6,481,494
19.683332,8.583333,Fibroblasts,7,481,494
169.32001,7.880000099999999,Fibroblasts,8,481,494
154.64407,7.5762711,Fibroblasts,9,481,494
162.66666999999998,6.4444447,Fibroblasts,10,481,494
375.67902000000004,9.7160492,Cancer,11,481,494
402.67926,8.6886797,Fibroblasts,12,481,494
416.64285,10.464286,Fibroblasts,13,481,494
38.04673,10.060748,Fibroblasts,14,481,494
273.33333999999996,11.333333,Fibroblasts,15,481,494
479.27777000000003,12.277778,Fibroblasts,16,481,494
470.66666,13.302082999999998,Fibroblasts,17,481,494
117.92453,14.037735999999999,Fibroblasts,18,481,494
169.80768999999998,15.057692999999999,Fibroblasts,19,481,494
269.0,13.666667000000002,Fibroblasts,20,481,494
8.199999799999999,14.4,Fibroblasts,21,481,494
394.25,14.75,Fibroblasts,22,481,494
434.1355,17.096775,Fibroblasts,23,481,494
54.068180000000005,16.477272,Fibroblasts,24,481,494
273.42856,16.714285,Fibroblasts,25,481,494
73.108109,17.135136,Fibroblasts,26,481,494
137.98773,16.80368,Fibroblasts,27,481,494
157.82013999999998,18.071943,Cancer,28,481,494
86.533333,17.133333,Fibroblasts,29,481,494
64.970589,18.088236,Fibroblasts,30,481,494
452.79815999999994,18.25688,Fibroblasts,31,481,494
357.73499,19.35689,Cancer,32,481,494
116.46153999999999,22.737179,Fibroblasts,33,481,494
331.46249,23.4625,Cancer,34,481,494
50.666668,24.801417999999998,Fibroblasts,35,481,494
88.275864,24.827587,Cancer,36,481,494
176.12415,23.744826999999997,Fibroblasts,37,481,494
373.16666000000004,25.574074,Cancer,38,481,494
26.222221,28.828283000000003,Fibroblasts,39,481,494
261.14755,29.459017,Fibroblasts,40,481,494
342.49496,28.373737,Cancer,41,481,494
63.799999,29.639999,Fibroblasts,42,481,494
189.43166000000002,26.035971,Fibroblasts,43,481,494
462.54760999999996,30.976190999999996,Fibroblasts,44,481,494
277.79105,30.940298,Fibroblasts,45,481,494
367.59091,31.454546,Cancer,46,481,494
304.94095,32.546127,Fibroblasts,47,481,494
361.56522,33.0,Cancer,48,481,494
349.5625,32.78125,Cancer,49,481,494
177.47368,35.701756,Fibroblasts,50,481,494
190.82576,36.901516,Fibroblasts,51,481,494
331.1579,35.298244,Fibroblasts,52,481,494
128.77109,35.012046999999995,Fibroblasts,53,481,494
377.01785,33.75,Cancer,54,481,494
474.17999000000003,34.279999,Fibroblasts,55,481,494
111.82978999999999,35.515957,Fibroblasts,56,481,494
216.0,36.46154,Fibroblasts,57,481,494
422.7077,34.599998,Fibroblasts,58,481,494
95.146339,37.804878,Fibroblasts,59,481,494
212.0,38.5,Fibroblasts,60,481,494
345.21622,39.959461,Cancer,61,481,494
355.08771,39.894737,Cancer,62,481,494
360.35001,39.349998,Cancer,63,481,494
395.54544,38.636364,Fibroblasts,64,481,494
431.39395,39.151516,Fibroblasts,65,481,494
321.88135,38.85593,Fibroblasts,66,481,494
378.125,41.078125,Fibroblasts,67,481,494
448.68807999999996,39.623852,Fibroblasts,68,481,494
472.10638,41.106384000000006,Fibroblasts,69,481,494
366.96552,41.862068,Cancer,70,481,494
392.6875,43.0625,Fibroblasts,71,481,494
420.35443,42.86076,Fibroblasts,72,481,494
207.61667,42.849998,Fibroblasts,73,481,494
87.88333100000001,44.566666,Fibroblasts,74,481,494
308.17242000000005,45.379311,B cells,75,481,494
